name gnina_score gnina_score_min smina_score_min min_rmsd 
UYWBAFLPCIMFPK-UHFFFAOYSA-N-P59-P44-P59-607687 6.324 5.670 -4.340 1.467
OZKQQTPEQIEYHG-UHFFFAOYSA-N-P44-P44-P59-607688 6.261 5.742 -4.727 1.476
ZQWLMNMUIVILSM-UHFFFAOYSA-N-P44-P44-P59-607688 5.908 5.632 -5.025 1.018
PPOUVDAWLMCFED-UHFFFAOYSA-N-P59-P44-P59-607688 6.371 5.916 -5.320 0.460
SHSUIGYIFNKFMV-UHFFFAOYSA-N-P59-P44-P59-607688 6.291 5.745 -4.806 1.011
UAQAMUMYRAPRFU-UHFFFAOYSA-N-P59-P44-P59-607688 5.485 5.471 -5.112 1.189
CNYZEMKPXABBAJ-UHFFFAOYSA-N-P59-P44-P59-607688 6.067 6.005 -4.195 1.411
ZLZDJYFLLJIGSW-UHFFFAOYSA-N-P44-P44-P59-607688 6.567 5.965 -4.460 2.087
RXJAPEMQJJZPKV-UHFFFAOYSA-N-P59-P44-P59-607688 6.143 5.741 -4.339 2.302
LIXZRZWXPINAKN-UHFFFAOYSA-N-P44-P44-P59-607688 6.443 5.751 -4.714 1.654
SMQZTPZZVYKYKV-UHFFFAOYSA-N-P98-P98-P111-607688 5.324 4.292 -4.534 2.464
