,xx01zvns2b,xx01zvns2b,xx01zvns2b,a71ev2a,a71ev2a,a71ev2a,d68ev3c,d68ev3c,d68ev3c
,openbind_xx01zvns2b_c2_hit_analogues_85percent,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_a71ev2a_c2_hit_analogues_85percent,openbind_a71ev2a_c2_hit_analogues_90percent,openbind_a71ev2a_c2_hit_analogues_95percent,openbind_d68ev3c_c2_hit_analogues_85percent,openbind_d68ev3c_c2_hit_analogues_90percent,openbind_d68ev3c_c2_hit_analogues_95percent
smiles,,,,,,,,,
Cn1cnc2ccncc21,True,True,False,False,False,False,True,True,False
C[n+]1cccc2[nH]ccc21,True,False,False,False,False,False,True,False,False
N#Cn1cnc2ccccc21,True,True,True,False,False,False,True,True,True
Cn1cnc2ccc(O)cc21,True,False,False,False,False,False,True,False,False
NCCn1cnc2cccnc21,True,False,False,False,False,False,True,False,False
Cn1cnc2cc(N)ccc21,True,False,False,False,False,False,True,False,False
Cn1cnc2ccc(N)cc21,True,False,False,False,False,False,True,False,False
CCCn1cnc2ccccc21,True,True,True,False,False,False,True,True,True
N#CCn1cnc2ccccc21,True,True,True,False,False,False,True,True,True
Cn1cnc2cc(F)ccc21,True,False,False,False,False,False,True,False,False
Cn1cnc2cc(S)ccc21,True,False,False,False,False,False,True,False,False
NCc1cccc2[nH]cnc12,True,False,False,False,False,False,True,False,False
N=C(N)Cn1cnc2ccccc21,True,False,False,False,False,False,True,False,False
N#CCCn1cnc2ccccc21,True,True,False,False,False,False,True,True,False
Cn1cnc2ccc(CN)cc21,True,False,False,False,False,False,True,False,False
C#Cn1cnc2ccccc21,True,True,True,False,False,False,True,True,True
NC(=O)Cn1cnc2ccccc21,True,False,False,False,False,False,True,False,False
NCCn1cnc2cncnc21,True,False,False,False,False,False,True,False,False
Cn1ccc2ncccc21,True,False,False,False,False,False,True,False,False
Cn1cnc2cc(Br)ccc21,True,False,False,False,False,False,True,False,False
CC(CS)Cn1cnc2ccccc21,True,False,False,False,False,False,True,False,False
CC(=O)CCn1cnc2ccccc21,True,False,False,False,False,False,True,False,False
Cn1cnc2cc(C=O)ccc21,True,False,False,False,False,False,True,False,False
CN(C)c1cc(N)ccn1,True,False,False,False,False,False,False,False,False
CN(C)c1cccc(N)n1,True,False,False,False,False,False,False,False,False
CC(N)c1ccc(-n2ccnn2)cc1,True,False,False,False,False,False,False,False,False
CC(N)c1ccc(N2CCN(C)CC2)c(F)c1,True,False,False,False,False,False,False,False,False
CC(N)c1ccc(NC(=O)c2ccncc2)cc1,True,False,False,True,False,False,True,False,False
CC(N)c1ccc(NC(=O)c2ccc(F)cc2)cc1,True,False,False,True,False,False,False,False,False
CCN(CC)C(=O)Cc1ccc(N)cc1,True,False,False,True,True,False,False,False,False
CCC(CO)NC(=O)Cc1ccc(N)cc1,True,False,False,False,False,False,False,False,False
CN(C)CCNC(=O)Cc1ccc(N)cc1,True,False,False,True,False,False,False,False,False
COC(=O)CNC(=O)Cc1ccc(N)cc1,True,False,False,False,False,False,True,False,False
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,True,False,False,False,False,False,False,False,False
Nc1ccc2c(c1)N(C(=O)c1ccccc1)CC2,True,False,False,False,False,False,False,False,False
CN(C(=O)Cc1ccc(N)cc1)c1ccccc1,True,False,False,True,False,False,True,False,False
Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2,True,False,False,False,False,False,False,False,False
Nc1ccc(CC(=O)N2CCc3ccccc32)cc1,True,False,False,False,False,False,False,False,False
CCN(C(=O)Cc1ccc(N)cc1)c1ccccc1,True,False,False,True,False,False,False,False,False
FC(F)(F)Oc1ccc2c(Cl)ccnc2c1,True,False,False,False,False,False,False,False,False
Oc1ccnc2c(OC(F)(F)F)cccc12,True,True,False,False,False,False,False,False,False
Nc1ccc2cc(OC(F)(F)F)ccc2n1,True,False,False,False,False,False,False,False,False
FC(F)(F)COc1cccc2c(Br)ccnc12,True,False,False,False,False,False,False,False,False
Nc1cnc2c(OC(F)(F)F)cccc2c1O,True,False,False,False,False,False,False,False,False
Oc1ccnc2cc(OC(F)(F)F)ccc12,True,False,False,False,False,False,False,False,False
Oc1ccnc2ccc(OC(F)(F)F)cc12,True,False,False,False,False,False,False,False,False
Oc1ccc2cc(OC(F)(F)F)ccc2n1,True,False,False,False,False,False,False,False,False
Cc1ccnc2ccc(OC(F)(F)F)cc12,True,False,False,False,False,False,False,False,False
O=Cc1ccc2cccc(OC(F)(F)F)c2n1,True,False,False,False,False,False,False,False,False
