quote_entry,quoted_smiles,HIPPO Compound ID (xx01zvns2b),HIPPO Compound ID (a71ev2a),HIPPO Compound ID (d68ev3c)
EN300-7378927,Cl.NCc1ccc2c(c1)CNC2=O,139385,,
EN300-27202,Cc1nnnn1C(=Cc1cccc(F)c1)C(=O)O,139379,,
EN300-70071,O=C(O)c1sccc1I,139485,,
EN300-8134159,Cc1ccnc2c(Cl)ccc(N)c12,139750,,
EN300-98274,O=C(O)c1sccc1O,139486,,
EN300-42764,O=C(O)c1sccc1Br,139487,,
EN300-99855,O=C(O)c1sccc1F,139489,,
EN300-26625389,CNc1ccc(Cl)c2ncccc12.Cl,132380,,
EN300-150747,O=C(O)c1cc(F)cs1,139490,,
EN300-100229,O=C(O)c1sccc1Cl,139492,,
EN300-60920,N#Cc1ccsc1C(=O)O,139493,,
EN300-121120,O=Cc1ccsc1C(=O)O,139522,,
EN300-52125836,Nc1c(Br)cc(Cl)c2ncccc12,139749,,
EN300-1273289,O=C(O)c1sccc1CO,139543,,
EN300-4174051,O=C(O)c1sccc1CF,139546,,
EN300-2993983,O=C(O)c1sccc1CCl,139548,,
EN300-51047,CC(C)c1ccsc1C(=O)O,139553,,
EN300-335898,O=C(O)c1sccc1C(F)F,139557,,
EN300-343987,N#CCc1ccsc1C(=O)O,139558,,
EN300-40136,O=C(O)c1sccc1[N+](=O)[O-],139562,,
EN300-251693,CCOc1ccsc1C(=O)O,139564,,
EN300-128199,COCc1ccsc1C(=O)O,139591,,
EN300-36279332,Cc1cc(CO)c(C(=O)O)s1,139606,,
EN300-105330,CN(C)Cc1ccsc1C(=O)O.Cl,139611,,
EN300-70063,O=C(O)c1sccc1OC(F)F,139615,,
EN300-722371,COC(=O)c1sccc1C(=O)O,139618,,
EN300-181870,O=C(O)c1sc(Br)cc1[N+](=O)[O-],139627,,
EN300-216829,O=C(O)c1scc2c1CCCC2,139630,,
EN300-71847,O=C(O)c1sccc1SC(F)F,139647,,
EN300-24419,NS(=O)(=O)c1ccsc1C(=O)O,139649,,
EN300-51080,CC(C)(C)c1ccsc1C(=O)O,139650,,
EN300-71660,CS(=O)(=O)c1ccsc1C(=O)O,139667,,
EN300-43465,CS(=O)(=O)Nc1ccsc1C(=O)O,139672,,
EN300-36731,O=C(O)c1sccc1-n1cnnn1,139676,,
EN300-52402029,Cc1csc(C(=O)O)c1C(F)(F)F,139738,,
EN300-745537,O=C(O)c1sccc1-c1ccsc1,139743,,
EN300-138728,O=C(O)c1sccc1-n1ccnn1,139747,,
EN300-647961,CCCOc1nc2ccccc2cc1C(=O)O,140427,,
EN300-7563740,CN1C2CNCC1C2.Cl.Cl,140432,,
EN300-703747,CCCOc1nc2ccc(F)cc2cc1C(=O)O,140428,,
EN300-6766360,Cl.Cl.N[C@H]1CN2CCC1CC2,140434,,
EN300-7424123,CN1CC2CCC1CN2.Cl.Cl,140435,,
EN300-260827,CN1CC2CCC1C(N)C2.Cl.Cl,140433,,
EN300-74794,CNC1CN2CCC1CC2,140437,,
EN300-45168615,Cl.Cl.NC1CN2CCC1(F)CC2,136139,,
EN300-3127108,OCCN1CC2CCC1CN2,140450,,
EN300-54434,O=C(O)c1ccc(-c2ccccn2)[nH]c1=O,140547,,
EN300-45643384,Cl.FC(F)C1CCC12CNC2,140579,,
EN300-47297027,Cl.Cl.NCCN1CC2(CCC2)C1,135522,,
EN300-46736119,CN(C)CC1CC2(CNC2)C1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,140596,,
EN300-2988108,C1CC(C2NCC23CCC3)C1,140597,,
EN300-51682223,Cl.[N-]=[N+]=NCC1CC2(CNC2)C1,140598,,
EN300-39913999,COC(=O)C1NCC12CCC2.O=C(O)C(F)(F)F,140601,,
EN300-262234,Cl.c1cc(C2NCC23CCC3)cs1,140606,,
EN300-216770,C1COC(C2NCC23CCC3)C1,140608,,
EN300-244752,c1coc(C2NCC23CCC3)c1,140609,,
EN300-269281,Cl.Cl.c1cncc(C2NCC23CCC3)c1,140621,,
EN300-310304,c1cc(C2NCC23CCC3)ccn1,129023,,
EN300-52057577,CN1CCC(C2NCC23CCC3)CC1,140631,,
EN300-321123,Cl.Fc1ccc(C2NCC23CCC3)cc1,140635,,
EN300-6762568,Cl.c1ccc(COC2CC3(CNC3)C2)cc1,140639,,
EN300-264546,CC(C)(C)OC(=O)N1CC2(CCC2CN)C1,140643,,
EN300-27689171,FC(F)(F)c1ccc(C2NCC23CCC3)cc1,140644,,
EN300-45954058,CC1(CN)CC2(CN(C(=O)OC(C)(C)C)C2)C1,140645,,
EN300-1705753,Cn1ccnc1C(N)C(=O)[O-].[Na+],140757,,
EN300-1851983,COC(=O)C(N)c1ncc[nH]1,140760,,
EN300-622277,Cc1c[nH]c(C2(N)CCOC2)n1.Cl.Cl,140762,,
EN300-1091501,CC(C)(C)OC(=O)C1CCCN(c2ccc(C=O)o2)C1,140806,,
EN300-1294600,Nc1cc2c(cc1F)CNC2=O,140986,,
EN300-63988,COCCCN1Cc2ccc(N)cc2C1,140991,,
EN300-67125,CC(C)CCN1Cc2ccc(N)cc2C1,140993,,
EN300-68261,CCOCCCN1Cc2ccc(N)cc2C1,140994,,
EN300-6735902,O=C(O)[C@H]1NC(=O)[C@@H]2CC[C@H]12,141019,,
EN300-52826395,CS(=O)(=O)Nc1ccnn1C1CCCNC1.Cl.Cl,141105,,
EN300-34070,O=C(O)CN1C(=O)C2CC=CCC2C1=O,141035,,
EN300-6487461,Nc1cnn(C2CCC(=O)NC2)c1,141097,,
EN300-00188,O=C(O)CN1C(=O)C2CCCCC2C1=O,141048,,
EN300-12157,CCCCC1(C)NC(=O)N(CC(=O)O)C1=O,141043,,
EN300-46429246,Cl.Nc1cnn(C2CCC(=O)NC2=O)c1,141100,,
EN300-53360,CCCCC1(C)NC(=O)N(C(C)C(=O)O)C1=O,141053,,
EN300-10959,O=C(O)CN1C(=O)NC2(CCCCC2)C1=O,141059,,
EN300-12585,CN1C(=O)N(CC(=O)O)C(=O)C12CCCCC2,141065,,
EN300-1168895,O=C(O)CN1C(=O)NC2(CCOCC2)C1=O,141052,,
EN300-05770,CC(C(=O)O)N1C(=O)C2CC=CCC2C1=O,141050,,
EN300-10960,CC1CCC2(CC1)NC(=O)N(CC(=O)O)C2=O,141068,,
EN300-113548,CC1CC(C)CC2(C1)NC(=O)N(CC(=O)O)C2=O,141072,,
EN300-112212,CC1(C)CCCC2(C1)NC(=O)N(CC(=O)O)C2=O,141076,,
EN300-113629,O=C(O)CN1C(=O)NC(c2cccs2)(C2CC2)C1=O,141074,,
EN300-28247768,O=C(O)CNC(=O)[C@@H]1C[C@H]1c1ccc(Cl)c(Cl)c1,141064,,
EN300-07623,CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)O)C2=O,141091,,
EN300-45186396,C#CCCSC1=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@H]2[C@H]1C,141089,,
EN300-179880,CNC(=O)c1ccn(C2CCCNC2)n1.Cl.Cl,134365,,
EN300-00200,CSCC(C(=O)O)N1C(=O)C2CCCCC2C1=O,141094,,
EN300-364824,Nc1ccc2c(c1)CN(c1ccccc1)C2,139363,,
EN300-22854255,O=C(O)c1ccc2c(c1)C1(CC1)C(=O)N2,141603,,
EN300-127114,NCc1ccnc2ccnn12,141620,,
EN300-345671,NCc1ccnc(-c2ccccn2)n1,141656,,
EN300-26690326,Cl.Cl.NCc1cc(=O)n2ccc(Br)cc2n1,141658,,
EN300-175414,CN1CCN(c2nccc(CN)n2)CC1,141663,,
EN300-28253659,Cl.Cl.NCc1cc(=O)[nH]c(-c2ccccn2)n1,141666,,
EN300-218026,CN1Cc2cc(N)ccc2C1=O,141753,,
EN300-790949,CCN1Cc2cc(N)ccc2C1=O,141755,,
EN300-790947,CCCCN1Cc2cc(N)ccc2C1=O,141756,,
EN300-215349,Cc1cn2ccc(C(=O)O)cc2n1.Cl,122035,,
EN300-156785,CCOC(=O)c1nc(N)sc1I,141802,,
EN300-108888,CCOC(=O)c1nc(N)sc1Cl,141803,,
EN300-109085,CCOC(=O)c1nc(N)sc1C,141804,,
EN300-243320,Cc1cnc2cc(C(=O)O)ccn12,141789,,
EN300-171078,CCOC(=O)c1nc(N)sc1Br,141805,,
EN300-7539252,O=C(O)c1ccn2c(Br)cnc2c1,141790,,
EN300-46618381,Cl.O=C(O)c1cc2nccn2cc1F,141791,,
EN300-52563803,Cl.Cl.O=C(O)c1cc(Br)n2ccnc2c1,141792,,
EN300-8185607,O=C(O)c1cc2nccn2cc1Br,141793,,
EN300-1458390,CCOC(=O)c1nc(N)sc1CC,141807,,
EN300-886814,CC(C)(C)OC(=O)c1csc(N)n1,141808,,
EN300-92198,CCNc1nc(C(=O)OCC)cs1,141806,,
EN300-46817296,Cl.O=C(O)c1cc2ncc(Cl)n2cc1F,141794,,
EN300-46792427,Cl.O=C(O)c1cc2ncc(Br)n2cc1F,141795,,
EN300-321965,O=Cc1cnc2cc(C(=O)O)c(Br)cn12,141797,,
EN300-191499,CCOC(=O)c1nc(N)sc1C(C)=O.Cl,141810,,
EN300-6739281,O=Cc1cn2cc(Br)c(C(=O)O)cc2n1,141796,,
EN300-1197847,O=C(O)c1ccn2cc(C3CC3)nc2c1,141798,,
EN300-54734,C=CCNc1nc(C(=O)OCC)cs1,141809,,
EN300-172801,O=C(O)c1ccn2cc(C(F)(F)F)nc2c1,141799,,
EN300-217306,CCOC(=O)c1nc(N)sc1C(F)(F)F,141811,,
EN300-97665,Cn1cc(-c2cn3ccc(C(=O)O)cc3n2)cn1,141800,,
EN300-814042,CCOC(=O)c1nc(N)sc1Cc1ccccc1,141812,,
EN300-07273,CCOC(=O)c1nc(NCc2ccccc2)sc1C,141813,,
EN300-267695,O=C(O)c1ccnc2cc(F)ccc12,141969,,
EN300-313463,Nc1cc(C(F)(F)F)cc2cccnc12,142092,,
EN300-317542,CC(C)(C)c1cc(N)c2ncccc2c1,142093,,
EN300-2394676,O=C(O)c1c(Br)cnc2ccccc12,141962,,
EN300-90077,COC(=O)c1cc(N)c2ncccc2c1,142094,,
EN300-7541596,Cc1ccc2c(C(=O)O)ccnc2c1,141980,,
EN300-17872,O=C(O)c1cc(Cl)nc2ccccc12,141961,,
EN300-27779498,Cl.O=C(O)c1ccnc2ccc(F)cc12,141983,,
EN300-629980,Cc1cccc2c(C(=O)O)ccnc12,141985,,
EN300-704006,O=C(O)c1ccnc2cc(Cl)ccc12,141986,,
EN300-52402296,Br.O=C(O)c1ccnc2c(O)cccc12,141966,,
EN300-00923,Cc1cc(C(=O)O)c2ccccc2n1,141965,,
EN300-731952,O=C(O)c1ccnc2cccc(Cl)c12,141964,,
EN300-119039,O=C(O)c1ccnc2ccc(Cl)cc12,141987,,
EN300-731942,O=C(O)c1ccnc2cccc(Br)c12,141963,,
EN300-257141,O=C(O)c1ccnc2ccc(Br)cc12,141991,,
EN300-731943,O=C(O)c1ccnc2cc(Br)ccc12,141993,,
EN300-93470,O=C(O)c1c(O)cnc2ccccc12,141968,,
EN300-197195,O=C(O)c1ccnc2c(Br)cccc12,141967,,
EN300-731960,O=C(O)c1ccnc2cc(I)ccc12,141971,,
EN300-1212503,Cc1cnc2ccccc2c1C(=O)O,141994,,
EN300-3480934,O=C(O)c1ccnc2ccc(O)cc12,141995,,
EN300-00825,O=C(O)c1cc(O)nc2ccccc12,141960,,
EN300-396409,O=C(O)c1ccnc2c(F)cccc12,141959,,
EN300-201291,O=C(O)c1c(O)cnc2ccc(Cl)cc12,141996,,
EN300-630022,O=C(O)c1ccnc2c(F)c(F)ccc12,141992,,
EN300-1581858,CCc1cnc2ccccc2c1C(=O)O,141997,,
EN300-82028,O=C(O)c1cc(O)nc2ccc(Br)cc12,141998,,
EN300-629989,COc1ccc2nccc(C(=O)O)c2c1,141999,,
EN300-625764,O=C(O)c1cc(Cl)nc2c(F)cccc12,141990,,
EN300-101222,O=C(O)c1cc(=O)[nH]c2c(Br)cccc12,141989,,
EN300-50068,Cc1cc(C(=O)O)c2ccc(Br)cc2n1,142000,,
EN300-366431,Cc1nc2ccccc2c(C(=O)O)c1O,142001,,
EN300-625418,O=C(O)c1c(O)cnc2cc(F)ccc12,142002,,
EN300-731950,COc1ccc2c(C(=O)O)ccnc2c1,129693,,
EN300-86946,Cc1cc(C(=O)O)c2cccc(Br)c2n1,141988,,
EN300-72404,O=C(O)c1cc(=O)[nH]c2ccc(Cl)cc12,142003,,
EN300-39524,Cn1c(=O)cc(C(=O)O)c2ccccc21,141982,,
EN300-49563,Cc1cc(C(=O)O)c2cc(Br)ccc2n1,142004,,
EN300-625390,Cc1cc(C(=O)O)c2cccc(Cl)c2n1,141984,,
EN300-49454,O=C(O)c1cc(=O)[nH]c2cc(F)ccc12,142005,,
EN300-1670550,Cc1ccc2c(C(=O)O)cc(Br)nc2c1,142006,,
EN300-239807,COc1cc(C(=O)O)c2ccccc2n1,141978,,
EN300-82027,O=C(O)c1cc(O)nc2ccc(F)cc12,142007,,
EN300-191667,Cc1cc(C(=O)O)c2cc(Cl)ccc2n1,142008,,
EN300-748984,O=C(O)c1cc(O)nc2c(O)cccc12,141979,,
EN300-05732,Cc1ccc2nc(C)cc(C(=O)O)c2c1,142009,,
EN300-629982,Cc1ccc2c(C(=O)O)ccnc2c1C,142010,,
EN300-302522,Cc1c(C(=O)O)c2ccccc2[nH]c1=O,141972,,
EN300-303511,O=C(O)c1c(O)cnc2c(F)cccc12,141975,,
EN300-7494438,Br.Cc1cc(C(=O)O)c2cccc(O)c2n1,141976,,
EN300-366390,O=C(O)c1cc(=O)[nH]c2c(F)cccc12,141977,,
EN300-1697552,Cc1ccc2c(C(=O)O)ccnc2c1Cl,142011,,
EN300-630019,Cc1cc(Br)cc2c(C(=O)O)ccnc12,142012,,
EN300-629983,Cc1cc(C)c2nccc(C(=O)O)c2c1,142013,,
EN300-136675,O=C(O)c1c(O)cnc2c(Br)cccc12,141970,,
EN300-140740,O=C(O)c1c(O)cnc2ccc(Br)cc12,142014,,
EN300-51304,Cc1cc(C(=O)O)c2c(Br)cccc2n1,141974,,
EN300-35621,Cc1cc(C(=O)O)c2ccc(F)cc2n1,142016,,
EN300-235887,Cc1cc(C(=O)O)c2cccc(C)c2n1,141973,,
EN300-314567,Cc1c(Cl)nc2ccccc2c1C(=O)O,142023,,
EN300-93473,COc1cnc2ccccc2c1C(=O)O,128930,,
EN300-200990,O=C(O)c1c(O)cnc2ccc(F)cc12,142025,,
EN300-625451,O=C(O)c1cc(O)nc2cc(Br)ccc12,142026,,
EN300-629981,COc1cccc2c(C(=O)O)ccnc12,142027,,
EN300-1581864,Cc1cnc2ccc(Br)cc2c1C(=O)O,142028,,
EN300-01328,CCc1nc2ccccc2c(C(=O)O)c1C,142031,,
EN300-1695739,CC(=O)c1cnc2ccccc2c1C(=O)O,142032,,
EN300-10841664,Cc1ccc2nc(C)c(O)c(C(=O)O)c2c1,142033,,
EN300-12106,O=C(O)c1cc(C2CC2)nc2ccccc12,142022,,
EN300-331956,Cc1c(C=O)nc2ccccc2c1C(=O)O,142035,,
EN300-625400,Cc1cc(C(=O)O)c2c(F)ccc(F)c2n1,142021,,
EN300-749545,Cc1c(C(=O)O)c2ccccc2n(C)c1=O,142024,,
EN300-01305,O=C(O)c1c2c(nc3ccccc13)CCC2,142020,,
EN300-154590,COc1ccc2c(C(=O)O)cc(=O)[nH]c2c1,142036,,
EN300-19356786,Cc1cc(C(=O)O)c2ccc(C)c(C)c2n1.O.O,142037,,
EN300-7539764,Cc1nc2c(F)cccc2c(C(=O)O)c1O,142019,,
EN300-1702810,Cn1c(=O)cc(C(=O)O)c2cc(Br)ccc21,142038,,
EN300-126681,CN(C)c1cc(C(=O)O)c2ccccc2n1,142040,,
EN300-252972,COc1ccc2c(C(=O)O)c(O)cnc2c1,142041,,
EN300-188236,CCCc1cc(C(=O)O)c2ccccc2n1,142042,,
EN300-127954,Cc1cc(F)c2nc(O)cc(C(=O)O)c2c1,142043,,
EN300-13661,CC(C)c1cc(C(=O)O)c2ccccc2n1,142044,,
EN300-40293,Cc1cccc2c(C(=O)O)cc(C3CC3)nc12,142046,,
EN300-74869,O=C(O)c1cc(=O)[nH]c2ccc([N+](=O)[O-])cc12,142047,,
EN300-86899,O=C(O)c1cc(C2CC2)nc2cc(F)ccc12,142048,,
EN300-7393002,O=C(O)c1cc(C(F)(F)F)nc2ccccc12,142053,,
EN300-625513,O=C(O)c1c2c(nc3ccc(Br)cc13)CCC2,142052,,
EN300-22302402,Cc1nc2c(F)c(F)ccc2c(C(=O)O)c1O,142057,,
EN300-625512,O=C(O)c1c2c(nc3ccc(Cl)cc13)CCC2,142058,,
EN300-102073,O=C(O)c1cc(C2CC2)nc2ccc(Cl)cc12,142059,,
EN300-86950,Cc1ccc2nc(C3CC3)cc(C(=O)O)c2c1,142060,,
EN300-93683,O=C(O)c1cc(C2CC2)nc2ccc(F)cc12,142062,,
EN300-186674,CC(C)c1cc(C(=O)O)c2cc(F)ccc2n1,142063,,
EN300-126687,Cc1c(C2CC2)nc2ccccc2c1C(=O)O,142064,,
EN300-01335,CCCc1nc2ccccc2c(C(=O)O)c1CC,142065,,
EN300-00804,O=C(O)c1cc(-c2ccco2)nc2ccccc12,142029,,
EN300-101470,Cc1c(C2CC2)nc2ccc(Br)cc2c1C(=O)O,142071,,
EN300-86931,Cc1cc(C)c2c(C(=O)O)cc(C3CC3)nc2c1,142072,,
EN300-07634,O=C(O)c1c2c(nc3ccc(Br)cc13)CCCC2,142073,,
EN300-06036,Cc1ccc2nc3c(c(C(=O)O)c2c1)CCCC3,142074,,
EN300-46583579,O=C(O)c1cc(Cl)nc2c(S(=O)(=O)F)cccc12,142076,,
EN300-00839,CN1CCc2nc3ccccc3c(C(=O)O)c2C1,142077,,
EN300-00918,O=C(O)c1c2c(nc3ccccc13)CCCCC2,142045,,
EN300-257975,COc1ccc2nc3c(c(C(=O)O)c2c1)CCC3,142078,,
EN300-00694,O=C(O)c1cc(-c2cccs2)nc2ccccc12,142030,,
EN300-102776,Cc1cc(C)c2nc(C3CC3)cc(C(=O)O)c2c1,142080,,
EN300-01304,CC1CCc2nc3ccccc3c(C(=O)O)c2C1,142081,,
EN300-383881,Cl.Cl.N[C@@H]1C[C@H]1c1c[nH]cn1,142462,,
EN300-149131,NC1CCc2[nH]cnc2C1,142464,,
EN300-333078,Cl.Cl.N[C@H](CO)Cc1c[nH]cn1,129945,,
EN300-57334,N[C@@H](Cc1c[nH]cn1)C(=O)O,129553,,
EN300-37443612,Cc1ncc2n1CCC(N)C2.Cl.Cl,142467,,
EN300-181428,Cc1nc2c([nH]1)CCC(N)C2.Cl.Cl,142469,,
EN300-45407070,Cl.Cl.Cn1cnc2c1CCC(N)C2,142470,,
EN300-716368,COC(=O)[C@H](N)Cc1c[nH]cn1.Cl.Cl,142471,,
EN300-7352047,N[C@@H](Cc1c[nH]c(O)n1)C(=O)O,142472,,
EN300-46968980,Cc1nc(C[C@H](N)C(=O)O)c[nH]1.Cl.Cl,142473,,
EN300-7375424,N[C@@H](Cc1c[nH]c(S)n1)C(=O)O,142474,,
EN300-1588807,COC(=O)[C@@H](N)Cc1cn(C)cn1.Cl.Cl,142475,,
EN300-75059,CCOC(=O)[C@@H](N)Cc1c[nH]cn1.Cl.Cl,142476,,
EN300-28316220,COC(=O)[C@@H](N)Cc1c[nH]c(O)n1.Cl.Cl,142477,,
EN300-200195,Cc1nc2c(n1CCO)CCC(N)C2.Cl.Cl,142479,,
EN300-118284,Cl.Cl.NC(Cc1ccccc1)Cc1c[nH]cn1,142480,,
EN300-1692657,Cn1cncc1[C@@H]1CN(Cc2ccccc2)C[C@H]1N,142481,,
EN300-52983,CN1CC(C(=O)O)CCC1=O,142516,,
EN300-3023801,Cc1cc(-n2ccc(N)n2)ccn1,142534,,
EN300-95698,CC1CC(=O)NCC1C(=O)O,142517,,
EN300-5370140,Cc1nccc(-n2ccc(N)n2)c1Cl,142535,,
EN300-259187,CCN1CC(C(=O)O)CCC1=O,137410,,
EN300-6734171,CN1CC(C)(C(=O)O)CCC1=O,137419,,
EN300-26619659,Nc1ccn(-c2ccnc(C(F)F)c2)n1,142536,,
EN300-46882765,C[C@H]1NC(=O)CC[C@H]1C(=O)O,142518,,
EN300-1212475,CC1(C)CC(=O)NCC1C(=O)O,137412,,
EN300-391961,O=C1CCC(C(=O)O)C(C(F)(F)F)N1,142524,,
EN300-7351945,CC1(C)CC(C(=O)O)CNC1=O,137411,,
EN300-395691,COCCN1CC(C(=O)O)CCC1=O,142526,,
EN300-47336155,O=C(O)C1CCC(=O)N(C(F)(F)F)C1,142527,,
EN300-46900618,O=C(O)C1CNC(=O)C(C(F)(F)F)C1,142528,,
EN300-208959,O=C1CC(C(F)(F)F)C(C(=O)O)CN1,142529,,
EN300-1704404,O=C1CC2(CCC2)C(C(=O)O)CN1,142522,,
EN300-6489149,Cl.O=C(O)C1CCC(=O)N(C2CC2)C1,142523,,
EN300-1707879,O=C1CC2(CCOC2)C(C(=O)O)CN1,142525,,
EN300-702642,Cn1cc(N2CC(C(=O)O)CCC2=O)cn1,137484,,
EN300-101845,O=C(O)C1CCC(=O)N(Cc2ccccc2)C1,137459,,
EN300-213182,CC(Cc1cncc2ccccc12)C(=O)O.Cl,142635,,
EN300-20882205,COC(=O)c1csc(CN)n1.Cl,142636,,
EN300-6496193,CCOC(=O)c1nc(CN)sc1Br.Cl,142641,,
EN300-884825,CCOC(=O)c1csc(C(C)N)n1,142642,,
EN300-37355872,CN1CCn2ncc(CO)c2C1,142650,,
EN300-118496,NC1CCCN2CCCCC12,142652,,
EN300-27719395,Cl.Cl.NCC12CCCCN1CCC2,142653,,
EN300-80135,CC1CN2CCCCC2CN1,142654,,
EN300-214889,Cl.Cl.N#CC1CN2CCCCC2CN1,142655,,
EN300-94150,CCC1CN2CCCCC2CN1,142656,,
EN300-94216,O=Cc1cc(F)ccn1,142680,,
EN300-27685778,CN(C)c1ccc2c(c1)CNC2.Cl.Cl,142720,,
EN300-112748,Cc1cccc(C=O)n1,142683,,
EN300-37104410,CNc1ccc2c(c1)CN(C)C2.Cl.Cl,142721,,
EN300-113572,O=Cc1cccc(Cl)n1,142684,,
EN300-130330,O=Cc1cccc(F)n1,142686,,
EN300-107792,O=Cc1cccc(Br)n1,142687,,
EN300-128733,O=C(Cl)c1cc(Cl)ccn1,142689,,
EN300-6507857,Cc1ccc(Br)c(C=O)n1,142691,,
EN300-40905,O=C(O)c1cccc(Br)n1,142693,,
EN300-1725450,O=Cc1cc(Cl)cc(Cl)n1,142696,,
EN300-61563,O=C(O)c1cccc(Cl)n1,142698,,
EN300-69366,Cc1ccc(O)c(C=O)n1,142703,,
EN300-103100,O=C(O)c1cc(F)ccn1,142709,,
EN300-05538,O=C(O)c1cccc(S)n1,142711,,
EN300-69574,O=C(O)c1cc(O)ccn1,142715,,
EN300-96893,O=C(O)c1cccc(F)n1,142716,,
EN300-192913,N#Cc1cccc(C=O)n1,142718,,
EN300-39860506,Cc1ccc(C(=O)O)c2[nH]cc(C#N)c12,142766,,
EN300-59911,Nc1ccc2c(c1)C(=O)NC2,142767,,
EN300-182904,CCN1Cc2ccc(N)cc2C1,142768,,
EN300-316563,CN1Cc2ccc(N)cc2C1=O,142769,,
EN300-02536,Nc1ccc2c(c1)C(=O)NC2=O,142770,,
EN300-02523,CN1C(=O)c2ccc(N)cc2C1=O,141754,,
EN300-62009,CCCN1Cc2ccc(N)cc2C1,140987,,
EN300-790928,CCN1Cc2ccc(N)cc2C1=O,142772,,
EN300-39667569,CN1Cc2cc(N)ccc2C1(C)C.Cl.Cl,142773,,
EN300-190063,Nc1ccc2c(c1)CN(CC(F)F)C2,123891,,
EN300-249079,Nc1ccc2c(c1)CN(CC(F)(F)F)C2,129339,,
EN300-804126,COCN1C(=O)c2ccc(N)cc2C1=O,142774,,
EN300-64753,CCCC(C)N1Cc2ccc(N)cc2C1,140992,,
EN300-64657,CC(C)C(C)N1Cc2ccc(N)cc2C1,142803,,
EN300-1229319,CC(C)(O)CCN1Cc2ccc(N)cc2C1=O,135358,,
EN300-124792,CC(C)c1ccc(N2Cc3ccc(N)cc3C2)cc1,140995,,
EN300-37380617,CN1C(=O)CCC(N2Cc3cc(N)ccc3C2=O)C1=O,140996,,
EN300-37370664,CN1C(=O)CCC(N2Cc3ccc(N)cc3C2=O)C1=O,140998,,
EN300-45384,CC(C(=O)O)N1CCN(C)CC1.Cl.Cl,142834,,
EN300-7441082,CC1(C)CC(CN)CNC1=O,142875,,
EN300-94643,Br.Br.CN1CCN(C(C)(C)C(=O)O)CC1,142830,,
EN300-52961,CC(C)C(C(=O)O)N1CCN(C)CC1,142836,,
EN300-45376890,COC(=O)CN1CCN(CC(=O)O)CC1,142840,,
EN300-27148662,O=C(O)C(F)(F)F.O=C1CCC2(CNC2)CN1,142881,,
EN300-27702142,CC1NC(=O)CCC1CN.Cl.Cl,129657,,
EN300-335935,CN1CCN(C2(C(=O)O)CCOC2)CC1.Cl.Cl,142843,,
EN300-1264327,CN1CC(CN)CCC1=O,142883,,
EN300-45748662,Cl.NCC1CCC(=O)NC1=O,142885,,
EN300-28263171,CCC(C(=O)O)N1CCN(CCO)CC1.Cl,142842,,
EN300-6779420,NC(CO)C1CCC(=O)NC1,142880,,
EN300-6825494,CN1CC(C)(CN)CCC1=O,142878,,
EN300-1605566,Cl.Cl.O=C(O)C1CN2CCN1CC2,142847,,
EN300-333782,CN1C(=O)CC[C@@H](CN)[C@@H]1c1nccn1C.Cl.Cl,142887,,
EN300-72135,CN1CCN(CC(=O)O)CC1.Cl.Cl,142833,,
EN300-365180,CN1C(=O)CC[C@@H](CN)[C@@H]1c1cnn(C)c1.O=C(O)C(F)(F)F,142888,,
EN300-31958,Cl.Cl.O=C(O)CN1CCN(Cc2ccccc2)CC1,142851,,
EN300-318157,CCN1C(=O)CC[C@H](CN)[C@H]1c1nccn1C,142890,,
EN300-14509999,CCC(C(=O)O)N1CCN(c2ccccc2)CC1,142854,,
EN300-120562,CC1CN2CCN1C(C(=O)O)C2.Cl.Cl,142828,,
EN300-120414,CC1CN2CCN1CC2C(=O)O.Cl.Cl,142827,,
EN300-52528,Br.Br.CCN1CCN(CC(=O)O)CC1,142826,,
EN300-28267843,CC(C(=O)O)N1CCN(c2ccccc2F)CC1.Cl,142858,,
EN300-46388320,CC(C)(C)OC(=O)CN1CCN(CC(=O)O)CC1,142856,,
EN300-37433271,O=C(O)CN1CCN(CCN2CCNC(=O)C2)CC1=O,142872,,
EN300-258436,CC1(CN)CCC(=O)NC1,142882,,
EN300-311607,Cn1ccnc1[C@H]1[C@H](CN)CCC(=O)N1C1CC1,142892,,
EN300-46744668,CC(C)(C)OC(=O)NCCN1CCN(CC(=O)O)CC1,142868,,
EN300-12787075,CC(C(=O)O)N1CCN(c2ccccc2)CC1,142852,,
EN300-6760176,Cl.O=C1CCC(C2CCCCN2)C(=O)N1,142886,,
EN300-107056,CS(=O)(=O)N1CCN(CC(=O)O)CC1,142837,,
EN300-398695,CCN1C(=O)CC[C@H](CN)[C@H]1c1cnn(C)c1,142889,,
EN300-72525,CC(C(=O)O)N1CCN(c2ccc(F)cc2)CC1.Cl.Cl,142853,,
EN300-81561,Cl.Cl.O=C(O)CN1CCN(c2ccccn2)CC1,142845,,
EN300-94411,Br.Br.CN1CCN(C2(C(=O)O)CCCC2)CC1,142844,,
EN300-716236,Cn1cc([C@H]2[C@H](CN)CCC(=O)N2C2CC2)cn1,142891,,
EN300-716184,CCS(=O)(=O)c1cccnc1C(=O)O,143562,,
EN300-208774,Cc1ccc2c(N)cccc2n1,143563,,
EN300-749617,Nc1cccc2[nH]c(=O)ccc12,143564,,
