smiles,hit0,hit1
[H]OC(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])S(=O)(=O)C([H])([H])[H],7gqb-a,7gph-a
[H]OC([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c([H])c2[C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])C([H])([H])C1([H])[H],7gqb-a,7gqk-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c([H])c2I)N([H])[H])c([H])c1[H],7gqb-a,7gqn-a
[H]OC([H])([H])C(N([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])[H])(C([H])([H])[H])C([H])([H])O[H],7gqb-a,7gpd-a
[H]OC(=O)C([H])([H])[C@](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c(F)c([H])c1[H])N([H])[H],7gqb-a,7gpa-a
[H]O[C@]1([H])C([H])([H])C([H])([H])N([H])[C@@]([H])(C([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],7gqb-a,7gpk-b
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c([H])c2N([H])[H])N([H])[H])c([H])c1[H],7gqb-a,7gq3-a
[H]OC(=O)[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[C@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])[H],7gqb-a,7gpo-a
[H]c1c([H])c([H])c([C@]([H])(N([H])[H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]3(N([H])N(C([H])([H])[H])[C@@]([H])(Sc4c([H])c([H])c([H])c5nnc([H])n45)N3[H])C2([H])[H])c([H])c1[H],7gqb-a,B1270a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(C([H])([H])[H])c2N([H])C(=O)C([H])([H])S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,B1396a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c([H])c2N2N=C(C([H])([H])[H])C([H])([H])C2=O)N([H])[H])c([H])c1[H],7gp5-a,7gqb-a
[H]Oc1c([H])c([H])c(F)c([H])c1[C@]12C(=O)N(C([H])([H])[H])C([H])([H])C([H])=C1C([H])([H])C([H])([H])C2=O,7gp5-a,7gon-a
[H]C(=O)C([H])([H])C1:N:NC(N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C(=O)N([H])[H]):C:1[H],7gp5-a,7gp6-a
[H]c1c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c(F)c(N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c1[H],7gp5-a,7gp8-a
[H]OC([H])([H])[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])N1N=C(C([H])([H])[H])C([H])([H])C1=O,7gp5-a,7gpu-b
[H]c1c([H])c(O)c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c1[H],7gp5-a,7gpw-a
[H]OC(=O)c1c([H])c([H])c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c1[H],7gp5-a,7gq1-a
[H]OC1([H])C([H])([H])N([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2N2N=C(C([H])([H])[H])C([H])([H])C2=O)C1([H])[H],7gp5-a,7goe-a
[H]N1[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N2C(=O)C([H])([H])C(C([H])([H])[H])[C@]21[C@]1(C([H])([H])[H])N([H])C([H])([H])C([H])([H])C1([H])[H],7gp5-a,7gps-a
[H]Oc1c([H])c([H])c([H])c([H])c1N([H])[C@]1(O[H])C2=C(N3C(=O)C([H])([H])C(C([H])([H])[H])=C3C2([H])[H])C([H])([H])C([H])([H])C1([H])[H],7gp5-a,7god-a
[H]/C(=C(/[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1N1N=C(C([H])([H])[H])C([H])([H])C1=O)N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H],7gp5-a,7gof-a
[H]c1c([H])c([H])c(C([H])([H])c2noc([C@]([H])(N([H])[H])C([H])([H])[H])n2)c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c1[H],7gp5-a,7gog-a
[H]c1c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c(N([H])C([H])([H])[H])c(S(=O)(=O)C([H])([H])[H])c1[H],7gp5-a,7gou-a
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],7gp5-a,7gqd-a
[H]c1c([H])c([H])c([C@@]2(C([H])([H])[H])N=C(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C2=O)c(N([H])[H])c1[H],7gp5-a,7got-a
[H]c1c([H])c(N([H])C(=O)[C@]2([H])OC([H])([H])C([H])([H])OC2([H])[H])c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c1[H],7gp5-a,7goz-a
[H]c1c([H])c([H])c([S@@](=O)(=Nc2c([H])c([H])c([H])c(N3N=C(C([H])([H])[H])C([H])([H])C3=O)c2[H])N([H])[H])c(OC([H])(F)F)c1[H],7gp5-a,7gp0-a
[H]c1c([H])c(N([H])[H])c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c1[H],7gp5-a,7gq5-a
[H]OC(=O)c1c([H])c([H])c([H])c(C([H])([H])[H])c1N1N=C(C([H])([H])[H])C([H])([H])C1=O,7gp5-a,7gnv-a
[H]c1c([H])c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c(C(=O)N([H])[C@@]2([H])C([H])([H])N([H])C(=O)C([H])([H])C2([H])[H])c1[H],7gp5-a,7gny-a
[H]OC([H])([H])[C@@]1(C([H])([H])[H])N([H])C([H])([H])c2c([H])c([H])c([H])c(C([H])([H])[H])c2N2N=C(C([H])([H])C2=O)C1([H])[H],7gp5-a,7gpc-a
[H]c1c([H])c(Cl)c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c1[H],7gp5-a,7gqq-a
[H]c1c([H])c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c([H])c1[H],7gp5-a,7gqo-a
[H]OC([H])([H])[C@@]1([H])N([S@](=O)(=NC([H])([H])C([H])([H])C2=C(C([H])([H])[H])C([H])([H])C(=O)N2c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H],7gp5-a,7gpt-a
[H]c1c([H])c(N([H])[H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c([H])c1OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],7gp5-a,7gpi-a
[H]N1C2=C(C([H])([H])[H])C([H])([H])C(=O)N2C2=C(C1([H])[H])C([H])([H])C([H])([H])[C@@]1(N([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],7gp5-a,7go0-a
[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])N([H])[C@@]2(C([H])([H])C([H])([H])[C@]([H])(F)C([H])([H])[C@@]2([H])N2N=C(C([H])([H])[H])C([H])([H])C2=O)C1([H])[H],7gp5-a,7go7-a
[H]C1:N:C(/C(=N\C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C(N2N=C(C([H])([H])[H])C([H])([H])C2=O)=C1F,7gp5-a,7gpg-a
[H]OC([H])([H])C1=C(C([H])([H])[H])N(c2c([H])c([H])c([H])c([H])c2[H])C(=O)C1([H])[H],7gp5-a,7gqa-a
[H]c1c([H])c([H])c2c(c1[H])N1C(=O)C([H])([H])C(C([H])([H])[H])=C1[C@@]2([H])C([H])([H])S(=O)(=O)C([H])([H])[H],7gp5-a,7gph-a
[H]OC([H])([H])C1=NN(c2c([H])c([H])c([H])c([H])c2[H])C(=O)C1([H])[H],7gp5-a,7gqk-a
[H]c1c([H])c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c(I)c1[H],7gp5-a,7gqn-a
[H]OC([H])([H])C(N([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1N1N=C(C([H])([H])[H])C([H])([H])C1=O)(C([H])([H])[H])C([H])([H])O[H],7gp5-a,7gpd-a
[H]c1c([H])c([H])c(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c(N([H])[H])c1[H],7gp5-a,7gq3-a
[H]OC(=O)[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])N1N=C(C([H])([H])[H])C([H])([H])C1=O,7gp5-a,7gpo-a
[H]c1n[nH]c(C([H])([H])C(=O)N([H])c2c(N3N=C(C([H])([H])[H])C([H])([H])C3=O)c([H])c3nc([H])c([H])c([H])c3c2[H])c1[H],7gp5-a,B0693a
[H]c1c([H])c(S[C@]2([H])N(C([H])([H])[H])N([H])[C@@]3(N2[H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N2N=C(C([H])([H])[H])C([H])([H])C2=O)C3([H])[H])n2c([H])nnc2c1[H],7gp5-a,B1270a
[H]c1c([H])c([H])c(S(=O)(=O)C([H])([H])C(=O)N([H])c2c(N3N=C(C([H])([H])[H])C([H])([H])C3=O)c([H])c([H])c([H])c2C([H])([H])[H])c([H])c1[H],7gp5-a,B1396a
[H]c1c([H])c([H])c(/N=C(\N(C([H])([H])[H])C([H])([H])[H])C([H])([H])Oc2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H],7gon-a,7gqb-a
[H]c1c([H])c([H])c2c(nc(C(C(=O)C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n2C([H])([H])C([H])([H])C(=O)N([H])[H])c1F,7gon-a,7gp6-a
[H]c1c([H])c(N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c(OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c1F,7gon-a,7gp8-a
[H]c1c(O)c([H])c(OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c1F,7gon-a,7gpw-a
[H]OC(=O)c1c([H])c([H])c(F)c([H])c1OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],7gon-a,7gq1-a
[H]OC1([H])C([H])([H])N([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c(F)c([H])c2OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])C1([H])[H],7gon-a,7goe-a
