name,gnina_score,gnina_score_min,smina_score_min,min_rmsd,
C102812-P76,4.461,4.491,-3.427,0.703
C40513-P76,4.531,3.978,-4.602,1.992
C40525-P76,4.394,3.767,-4.776,2.027
C40527-P76,4.733,4.279,-3.603,2.109
C102839-P76,4.262,3.837,-5.385,1.629
C45903-P363,3.764,3.717,-4.085,2.794
C51842-P135,4.230,4.277,-5.095,0.927
C51851-P135,4.476,4.492,-5.350,0.345
C51859-P135,4.329,4.401,-5.325,0.474
C51872-P391,4.131,4.206,-3.582,0.485
C51876-P135,4.409,4.406,-5.323,0.379
C45780-P328,5.062,5.384,-7.068,1.437
C50807-P183,5.645,5.609,-5.525,0.268
C50814-P183,5.299,5.277,-5.757,0.259
C66327-P229,5.212,5.226,-5.218,0.615
C51400-P344,5.357,5.326,-6.480,0.523
C51401-P344,5.490,5.417,-6.508,0.501
C52381-P344,5.185,5.062,-4.842,1.572
C48046-P344,5.191,4.997,-5.244,0.337
C52382-P229,5.198,5.060,-5.564,0.599
C45790-P228,4.764,4.941,-6.288,0.605
C45958-P228,5.248,5.046,-6.447,1.285
C45959-P228,5.182,5.261,-5.700,0.938
C45966-P228,5.075,5.025,-6.363,0.450
C45979-P228,5.329,5.553,-7.535,1.415
C52374-P401,4.211,3.997,-4.486,2.463
C119628-P106,5.944,5.998,-5.148,0.790
C55786-P322,4.753,4.764,-5.596,0.864
C63883-P224,4.721,4.541,-4.660,1.811
C105131-P135,5.141,5.204,-6.798,0.367
C51401-P213,4.837,4.762,-4.965,1.332
C107104-P174,5.274,5.349,-6.135,0.338
C52375-P405,4.018,4.073,-4.130,1.518
C50753-P248,3.605,3.674,-5.074,0.572
C74114-P9,3.843,3.831,-4.368,0.340
C74115-P9,3.925,3.933,-4.553,1.745
C106645-P363,5.241,5.072,-4.547,0.951
C52382-P224,5.341,5.212,-5.986,0.480
C52408-P224,5.350,5.482,-6.645,0.731
C66854-P120,4.248,4.100,-4.506,0.854
C2716-P8,3.598,3.625,-4.617,1.471
C3806-P190,3.904,3.970,-3.617,0.417
C46321-P322,4.071,4.023,-2.857,1.322
C46339-P322,3.299,3.280,-3.854,2.113
C46343-P322,3.702,3.600,-4.236,1.907
C46353-P322,3.255,3.179,-3.265,1.770
C54664-P617,4.046,3.845,-3.924,1.927
C56883-P444,4.631,4.470,-5.739,1.880
C57129-P322,4.080,4.176,-4.787,2.021
C57139-P322,3.857,3.891,-3.865,2.295
C53768-P257,4.711,4.753,-5.266,1.043
C48170-P128,3.807,3.874,-4.231,1.588
C48181-P128,4.858,4.849,-5.385,0.541
C58995-P337,4.415,4.385,-5.563,0.884
C117753-P445,4.210,4.205,-5.134,1.207
C117762-P445,4.412,4.395,-5.420,0.595
C715-P557,4.015,3.898,-4.893,0.734
C9536-P122,3.599,3.207,-3.832,3.714
C46023-P304,4.502,4.406,-6.210,0.741
C46024-P304,4.553,4.964,-6.937,1.101
C46025-P304,4.520,4.939,-6.919,1.351
C45863-P322,3.641,3.477,-3.956,2.790
C47239-P196,3.572,3.303,-2.383,1.280
C124407-P214,4.460,4.649,-4.964,0.365
C124416-P214,4.707,4.706,-5.219,0.144
C47045-P198,4.537,5.044,-4.263,2.301
C12359-P152,4.242,4.392,-4.623,1.960
C39959-P100,4.294,3.817,-3.795,1.924
C124666-P76,4.120,3.554,-4.274,1.329
C124672-P100,4.380,3.696,-4.155,2.126
C124674-P100,4.098,3.789,-4.168,1.355
C124675-P76,3.857,3.673,-3.328,0.420
C124677-P100,4.307,4.012,-3.636,1.712
C124687-P76,4.275,3.741,-3.701,2.019
C124689-P100,4.155,3.979,-4.036,1.117
C124693-P100,4.047,3.696,-4.037,1.273
C39918-P76,4.029,4.012,-3.875,1.227
C39932-P100,4.274,3.994,-3.919,0.740
C39946-P76,3.946,3.959,-4.054,1.188
C32372-P76,4.356,4.103,-3.999,1.616
C63894-P229,4.397,4.348,-4.193,1.507
C63895-P229,4.433,4.729,-5.530,1.047
C46328-P354,4.388,4.323,-5.197,0.570
C54664-P557,3.929,3.866,-3.617,1.526
C46023-P308,4.585,4.391,-6.361,0.787
C46024-P308,4.660,4.885,-7.025,1.040
C47049-P481,4.559,4.605,-4.303,1.241
C47057-P481,5.117,5.064,-6.195,0.983
C47072-P481,4.834,4.985,-4.298,3.141
