target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C291938,1,,,,O=C(O)C1CCC(=O)N1C1CC1,OCC1(n2cccn2)CNC1,O=C(OCC1(n2cccn2)CNC1)C1CCC(=O)N1C1CC1,Steglich_esterification,,
C291939,1,,,,O=C(O)C1CCC(=O)N1C1CC1,CC(C)(CO)n1cc(I)cn1,CC(C)(COC(=O)C1CCC(=O)N1C1CC1)n1cc(I)cn1,Steglich_esterification,,
C291940,1,,,,CC(C)N1C(=O)CCC1C(=O)O,CC(C)(CO)n1cc(I)cn1,CC(C)N1C(=O)CCC1C(=O)OCC(C)(C)n1cc(I)cn1,Steglich_esterification,,
C291114,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,NC1COCC1F,O=C(NC1COCC1F)c1ccnc(SCC(F)(F)F)c1,Amidation,,
C291115,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,COCC(N)CF,COCC(CF)NC(=O)c1ccnc(SCC(F)(F)F)c1,Amidation,,
C290391,1,,,,CC(C)(C)OC(=O)CCC1CC(C(=O)O)CO1,COc1cccc2c1CCCC2(O)CN,COc1cccc2c1CCCC2(O)CNC(=O)C1COC(CCC(=O)OC(C)(C)C)C1,Amidation,,
C291122,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,CC(N)C1CCO1,CC(NC(=O)c1ccnc(SCC(F)(F)F)c1)C1CCO1,Amidation,,
C290398,1,,,,CC(C)(C)OC(=O)NC(CC1CCCO1)C(=O)O,COc1cccc2c1CCCC2(O)CN,COc1cccc2c1CCCC2(O)CNC(=O)C(CC1CCCO1)NC(=O)OC(C)(C)C,Amidation,,
C291124,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,COCC1CCN1,COCC1CCN1C(=O)c1ccnc(SCC(F)(F)F)c1,Amidation,,
C290400,1,,,,CC(C)(C)OC(=O)N1C(C(=O)O)CC2OCCC21,COc1cccc2c1CCCC2(O)CN,COc1cccc2c1CCCC2(O)CNC(=O)C1CC2OCCC2N1C(=O)OC(C)(C)C,Amidation,,
C291130,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,COCC(N)C(C)C,COCC(NC(=O)c1ccnc(SCC(F)(F)F)c1)C(C)C,Amidation,,
C291136,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,COC(=O)C(N)CO,COC(=O)C(CO)NC(=O)c1ccnc(SCC(F)(F)F)c1,Amidation,,
C291137,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,COC(=O)C(C)(C)N,COC(=O)C(C)(C)NC(=O)c1ccnc(SCC(F)(F)F)c1,Amidation,,
C292598,1,,,,NNc1ncns1,COC(=O)c1cc(C2CC2)ncc1Br,COC(=O)c1cc(C2CC2)ncc1N(N)c1ncns1,N-nucleophilic_aromatic_substitution,,
C291150,1,,,,O=C(O)c1ccnc(SCc2ccccc2)c1,CC1(N)COC1,CC1(NC(=O)c2ccnc(SCc3ccccc3)c2)COC1,Amidation,,
C290503,1,,,,O=C(O)C1CCN2CCCCC2C1,Cc1ccc(C2CCN2)cc1,Cc1ccc(C2CCN2C(=O)C2CCN3CCCCC3C2)cc1,Amidation,,
C291191,1,,,,O=C(O)c1ccnc(SCc2ccccc2)c1,CC(N)C1CCO1,CC(NC(=O)c1ccnc(SCc2ccccc2)c1)C1CCO1,Amidation,,
C290537,1,,,,O=C(O)C1CC(=O)N2CCCCC2C1,Cc1ccc(C2CCN2)cc1,Cc1ccc(C2CCN2C(=O)C2CC(=O)N3CCCCC3C2)cc1,Amidation,,
C290543,1,,,,O=C(O)C1CCN2CCCCC2C1,Cc1cccc(C2NCC2C)c1,Cc1cccc(C2C(C)CN2C(=O)C2CCN3CCCCC3C2)c1,Amidation,,
C290544,1,,,,O=C(O)C1CCN2CCCCC2C1,Cc1cccc(C)c1C1CCN1,Cc1cccc(C)c1C1CCN1C(=O)C1CCN2CCCCC2C1,Amidation,,
C290545,1,,,,O=C(O)C1CCN2CCCCC2C1,Cc1ccc(C2NCC2C)cc1,Cc1ccc(C2C(C)CN2C(=O)C2CCN3CCCCC3C2)cc1,Amidation,,
