name,gnina_score,gnina_score_min,smina_score_min,min_rmsd
P498769,5.432,5.416,-4.414,1.237
P498774,5.152,5.312,-4.961,0.732
P498778,5.616,5.548,-5.184,1.322
P498784,5.577,5.754,-3.894,2.024
P498790,5.576,5.168,-4.550,3.527
P498797,5.502,5.111,-5.545,1.551
P498802,5.776,5.137,-4.631,3.634
P498813,5.460,5.405,-4.302,1.553
P498817,5.709,5.135,-4.802,2.515
P498818,5.265,4.761,-5.317,1.455
P498825,5.423,5.449,-5.369,1.326
P498826,5.501,5.085,-4.641,2.006
P498836,5.539,5.049,-4.616,1.627
P498838,5.479,5.248,-4.967,1.251
P498839,5.513,5.499,-6.458,0.875
P498840,5.693,5.724,-7.050,1.057
P498841,5.922,6.041,-7.597,0.909
P498842,5.690,5.828,-7.727,1.021
P498845,5.413,5.435,-6.562,0.604
P498847,5.392,5.451,-7.886,0.507
P498849,4.875,4.687,-6.436,0.573
P498850,5.086,4.914,-6.803,0.658
P498852,4.775,4.667,-4.953,1.070
P498854,5.052,5.219,-7.115,0.498
P498855,5.511,5.384,-6.589,0.821
P498856,5.201,5.347,-7.538,0.667
P498857,5.211,5.040,-7.608,0.681
P498858,5.272,5.080,-6.955,0.932
P498859,5.737,5.925,-6.762,0.580
P498865,5.824,5.687,-8.084,0.913
P498868,5.568,5.538,-8.321,0.410
P498871,5.673,5.623,-7.344,0.442
P498873,5.701,5.719,-7.030,0.389
P498875,6.070,6.028,-9.264,0.328
P498877,5.740,5.562,-4.237,0.788
P498879,5.875,6.013,-7.102,0.436
P498880,5.785,5.720,-6.848,1.031
P498883,5.174,5.234,-7.097,0.393
P498884,5.335,5.230,-7.257,0.621
P498885,5.198,5.107,-6.456,0.668
P498886,5.301,5.085,-6.961,0.561
P498888,5.886,5.724,-4.755,0.893
P498889,5.913,5.840,-6.471,0.682
P498891,6.098,6.231,-7.021,0.663
P498892,5.470,5.631,-8.007,0.673
P498896,4.832,5.067,-6.077,0.653
P498899,6.091,6.107,-4.867,0.462
P498902,5.962,6.077,-3.910,0.884
P498903,5.897,5.845,-5.545,0.593
P498904,5.699,5.700,-6.132,0.446
P498905,5.955,5.784,-6.879,0.571
P498906,6.124,6.095,-7.246,0.824
P498907,6.124,5.989,-6.293,0.772
P498908,4.971,4.977,-4.674,1.020
P498909,4.714,4.697,-5.811,1.072
P498910,5.099,5.101,-5.267,0.566
P498911,5.005,5.208,-6.131,0.934
P498912,5.335,5.440,-4.817,0.894
P498914,5.091,4.938,-6.156,0.753
P498915,5.400,5.211,-5.235,0.494
P498916,5.243,5.130,-6.203,0.852
P498919,5.214,5.138,-6.477,0.883
P498920,5.506,5.002,-5.802,1.216
P498923,5.300,4.912,-6.722,1.669
P498924,4.962,4.916,-5.718,0.922
P498926,5.876,5.835,-5.270,0.425
P498927,5.704,5.433,-4.893,0.591
P498936,6.089,6.163,-6.859,0.192
P498943,6.124,6.172,-6.921,0.330
P498944,5.797,6.115,-7.794,1.061
P498945,5.942,6.006,-6.131,0.409
P498948,5.721,6.051,-7.815,0.992
P498949,5.697,5.740,-3.848,0.276
P498950,6.148,6.227,-7.076,0.364
P498959,6.159,6.188,-6.759,0.224
P498962,5.645,5.721,-5.420,0.510
P498965,6.121,6.201,-6.126,0.208
P498971,6.054,6.107,-6.066,0.179
P498975,6.011,6.049,-5.287,0.310
P498976,6.071,6.078,-5.806,0.511
P498977,5.514,5.624,-4.503,0.310
P498982,6.203,6.258,-5.587,0.181
P498984,6.273,6.369,-7.030,0.305
P498986,6.103,6.158,-6.080,0.400
P498988,5.852,5.865,-3.970,0.283
P498992,6.208,6.269,-6.623,0.264
P498998,5.915,6.007,-6.110,0.268
P499000,6.010,6.180,-5.031,0.294
P499006,5.869,5.998,-6.694,0.636
P499007,5.708,5.947,-1.895,0.628
P499010,6.199,6.207,-5.860,0.327
P499012,5.817,6.132,-5.207,0.661
P499014,5.923,6.091,-4.095,0.318
P499015,6.120,6.045,-5.728,0.423
P499016,6.153,5.933,-6.142,0.476
P499021,6.183,6.161,-6.220,0.848
P499022,6.315,6.287,-7.076,0.451
P499024,6.071,5.807,-5.733,1.381
P499025,6.238,6.277,-5.558,0.171
P499033,5.851,5.860,-5.349,0.474
P499038,6.299,6.272,-5.926,0.365
P499040,5.972,6.027,-3.053,0.433
P499041,6.134,6.061,-6.166,0.330
P499043,6.049,6.024,-0.706,0.180
P499045,5.815,5.841,-1.851,0.515
P499053,6.234,6.196,-5.654,0.431
P499054,6.142,5.811,-6.160,1.094
P499056,6.275,6.317,-6.154,0.310
P499057,6.382,6.359,-6.969,0.444
P499058,6.191,6.313,-4.969,1.456
P499059,5.675,5.982,-0.048,0.730
P499060,5.928,5.928,2.903,0.870
P499066,6.085,6.359,-4.951,0.716
P499067,6.323,6.335,-4.941,0.382
P499069,6.352,6.314,-5.621,0.443
P499070,6.009,6.022,2.642,0.305
P499072,6.260,5.877,-3.593,1.338
P499073,4.609,4.456,-5.583,0.933
P499074,4.739,4.272,-5.105,1.198
P499075,4.915,4.654,-4.893,1.786
P499076,5.150,5.139,-5.700,1.285
P499077,5.973,6.120,-7.474,0.681
P499079,5.745,5.696,-6.626,0.396
P499080,6.230,6.137,-7.255,0.342
P499081,6.009,6.203,-7.556,0.928
P499084,6.142,6.252,-7.415,0.876
P499086,6.300,6.237,-7.270,0.609
P499088,6.091,6.073,-7.206,0.270
P499091,6.080,6.405,-7.264,1.596
P499095,6.191,6.398,-6.486,0.679
P499098,6.094,6.126,-7.629,0.624
P499099,6.049,6.182,-6.792,0.766
P499100,6.330,6.337,-7.297,0.259
P499102,6.231,6.240,-5.468,0.448
P499103,6.737,6.779,-9.083,0.397
P499106,6.563,6.551,-5.361,1.546
P499107,4.604,4.629,0.115,0.384
P499108,4.651,4.494,-3.446,0.790
P499109,4.584,4.482,-4.823,1.160
P499110,4.806,4.401,-3.127,2.567
P499111,4.615,4.490,-3.753,0.496
P499112,4.652,4.575,-3.740,0.525
P499114,4.612,4.574,-3.750,0.529
P499116,5.231,4.974,-4.190,2.640
P499118,5.078,4.568,-3.962,3.641
P499119,4.908,4.810,-5.514,2.172
P499120,4.753,4.228,-4.643,2.889
P499122,4.867,4.214,-5.566,3.764
P499124,5.138,5.289,-1.830,0.624
P499126,5.199,5.121,-1.448,0.770
P499129,5.248,5.262,-0.833,0.595
P499130,5.076,4.774,-4.755,3.025
P499134,5.127,5.123,-6.055,1.008
P499136,5.231,5.258,-6.054,1.313
P499139,5.199,4.769,-5.435,1.762
P499142,5.064,4.502,-5.517,1.821
P499143,4.971,5.002,-5.952,1.163
P499144,5.228,5.169,-6.117,1.155
P499148,5.365,4.835,-5.437,1.622
P499152,5.146,4.659,-5.195,1.352
