compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_products,num_downstream_reaction_types,num_downstream_reactions,num_downstream (Amidation),num_downstream (Steglich_esterification),num_downstream (N-nucleophilic_aromatic_substitution),num_downstream (Reductive_amination),num_downstream (Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol),num_downstream (Ester_amidation),downstream_product_ids,downstream_reaction_types,downstream_reaction_ids
145819,CCOC(=O)c1cc2cccc(C(=O)O)c2[nH]1,TXSTYUAVGVWLPN-UHFFFAOYSA-N,2.0,10.0,3042,Enamine,,EN300-12770541,69.0,EUR,,,CCOC(=O)c1cc2cccc(C(=O)O)c2[nH]1,2025-12-01,2,1,2,2.0,,,,,,"{145897, 145900}",{'Amidation'},"{13362, 13359}"
146626,CCCn1c(=O)n(CC(=O)O)c2ccccc21,VISFDJKXMSXFIR-UHFFFAOYSA-N,3.0,10.0,3125,Enamine,,EN300-23532,18.0,EUR,,,CCCn1c(=O)n(CC(=O)O)c2ccccc21,2025-12-01,3,1,3,3.0,,,,,,"{146912, 146897, 146911}",{'Amidation'},"{14256, 14241, 14255}"
146679,COCC(C)C(C)N,MVUUBVNVNHJSPP-UHFFFAOYSA-N,2.0,10.0,3128,Enamine,,EN300-218138,46.0,EUR,,,COCC(C)C(C)N,2025-12-01,2,1,2,2.0,,,,,,"{146897, 146993}",{'Amidation'},"{14241, 14337}"
146666,NC1C2CCCOC12,HEOZZUBPQNUUPG-UHFFFAOYSA-N,2.0,10.0,3114,Enamine,,EN300-1086769,72.0,EUR,,,Cl.N[C@H]1[C@@H]2CCCO[C@H]12,2025-12-01,2,1,2,2.0,,,,,,"{146970, 146911}",{'Amidation'},"{14314, 14255}"
146665,NC1CC2COCC12,ILYYOUOYMCOHSN-UHFFFAOYSA-N,2.0,10.0,3113,Enamine,,EN300-716254,64.0,EUR,,,NC1CC2COCC12,2025-12-01,2,1,2,2.0,,,,,,"{146912, 146969}",{'Amidation'},"{14256, 14313}"
139458,COCC(C)CN,QKCOKEIMHOFEHO-UHFFFAOYSA-N,1.0,1.0,1777,Enamine,,EN300-56192,15.0,EUR,,,COCC(C)CN,2025-12-01,1,1,1,1.0,,,,,,{146928},{'Amidation'},{14272}
146627,O=C(O)Cn1c(=O)n(C2=CCCCC2)c2ccccc21,RTCNCJYIXJQJCY-UHFFFAOYSA-N,23.0,23.0,,Enamine,,EN300-42687,55.199999999999996,EUR,,,O=C(O)Cn1c(=O)n(C2=CCCCC2)c2ccccc21,2025-12-01,23,1,23,23.0,,,,,,"{146946, 146954, 146956, 146959, 146961, 146962, 146963, 146964, 146966, 146967, 146969, 146970, 146973, 146976, 146978, 146980, 146992, 146993, 146995, 146996, 146997, 146928, 146932}",{'Amidation'},"{14336, 14337, 14339, 14340, 14341, 14272, 14276, 14290, 14298, 14300, 14303, 14305, 14306, 14307, 14308, 14310, 14311, 14313, 14314, 14317, 14320, 14322, 14324}"
146640,NC1CCC1CO,FKRWYGATRZRIDM-UHFFFAOYSA-N,1.0,1.0,1779,Enamine,,EN300-26983394,57.0,EUR,,,Cl.N[C@H]1CC[C@H]1CO,2025-12-01,1,1,1,1.0,,,,,,{146932},{'Amidation'},{14276}
146642,COCC1CC1N,QFUWGKZFJBYYGC-UHFFFAOYSA-N,1.0,1.0,1781,Enamine,,EN300-7442729,57.0,EUR,,,COC[C@@H]1C[C@H]1N.Cl,2025-12-01,1,1,1,1.0,,,,,,{146946},{'Amidation'},{14290}
146647,CC1COCC1N,YGAMXHGNEOFJNN-UHFFFAOYSA-N,6.0,10.0,3118,Enamine,,EN300-36596311,62.0,EUR,,,C[C@H]1COC[C@H]1N.Cl,2025-12-01,6,1,6,6.0,,,,,,"{147553, 147237, 147401, 146954, 147517, 147326}",{'Amidation'},"{14657, 14773, 14582, 14809, 14298, 14493}"
146650,CC1(CO)CNC1,SOYCFNZZDDLHII-UHFFFAOYSA-N,1.0,1.0,1798,Enamine,,EN300-244122,14.0,EUR,,,CC1(CO)CNC1.Cl,2025-12-01,1,1,1,1.0,,,,,,{146956},{'Amidation'},{14300}
146661,NC1CCCC1CO,JFLVVCGMJYMWML-UHFFFAOYSA-N,1.0,1.0,1790,Enamine,,EN300-248498,15.0,EUR,,,N[C@H]1CCC[C@H]1CO,2025-12-01,1,1,1,1.0,,,,,,{146959},{'Amidation'},{14303}
146694,NCC1CCCC1O,VORALDSQPSWPRK-UHFFFAOYSA-N,1.0,1.0,1816,Enamine,,EN300-45645616,19.0,EUR,,,Cl.NC[C@@H]1CCC[C@H]1O,2025-12-01,1,1,1,1.0,,,,,,{146961},{'Amidation'},{14305}
