smiles,hit1,hit2,hit3,hit4,hit5
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C(F)(F)F)nc3c2)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2cc(Br)n3ccnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2cc3nccn3cc2F)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2cc3nccn3cc2Br)sc1C,Z0673a,Z1495a,,,
C=CCN(C(=O)c1ccn2cc(-c3cnn(C)c3)nc2c1)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)sc1C(C)=O,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2ccn3c(Br)cnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2ccn3cc(C)nc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2ccn3c(C)cnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2cc3ncc(Br)n3cc2F)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(Cc2ccccc2)C(=O)c2cc3ncc(Cl)n3cc2F)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(CCc2ccccc2)C(=O)c2cc(Br)n3ccnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C4CC4)nc3c2)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(CNC(=O)OC(C)(C)C)nc3c2)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(CNC(=O)OC(C)(C)C)nc3c2)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(CNC(=O)OC(C)(C)C)nc3c2)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2ccn3cc(CNC(=O)OC(C)(C)C)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(CCc2ccccc2)C(=O)c2ccn3cc(C)nc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(CCc2ccccc2)C(=O)c2ccn3c(Br)cnc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(CCc2ccccc2)C(=O)c2cc3nccn3cc2F)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(N(CCc2ccccc2)C(=O)c2cc3nccn3cc2Br)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(C=O)n3cc2Br)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CN1CCn2ncc(CNC3CCCN4CCCCC34)c2C1,Z0827a,Z0969a,,,
CN1CCn2ncc(CNCC34CCCCN3CCC4)c2C1,Z0827a,Z0969a,,,
CC1CN2CCCCC2CN1Cc1cnn2c1CN(C)CC2,Z0827a,Z0969a,,,
CN1CCn2ncc(CN3CC4CCCCN4CC3C#N)c2C1,Z0827a,Z0969a,,,
CCC1CN2CCCCC2CN1Cc1cnn2c1CN(C)CC2,Z0827a,Z0969a,,,
CC(C)(C)OC(=O)N1CCn2ncc(CNCC34CCCCN3CCC4)c2C1,Z0827a,Z0969a,,,
CC(C)(C)OC(=O)N1CCn2ncc(CNC3CCCN4CCCCC34)c2C1,Z0827a,Z0969a,,,
CC1CN2CCCCC2CN1Cc1cnn2c1CN(C(=O)OC(C)(C)C)CC2,Z0827a,Z0969a,,,
CC(C)(C)OC(=O)N1CCn2ncc(CNCC3CCCC4CCCN43)c2C1,Z0827a,Z0969a,,,
CCCCN1CCCCC1CNCc1cnn2c1CN(C(=O)OC(C)(C)C)CC2,Z0827a,Z0969a,,,
CC(C)CN1CCCCC1CNCc1cnn2c1CN(C(=O)OC(C)(C)C)CC2,Z0827a,Z0969a,,,
CC(C)(C)OC(=O)N1CCn2ncc(CN3CC4CCCCN4CC3C#N)c2C1,Z0827a,Z0969a,,,
CCC1CN2CCCCC2CN1Cc1cnn2c1CN(C(=O)OC(C)(C)C)CC2,Z0827a,Z0969a,,,
CN1CCn2ncc(CNCC3CN4CCCCC4CN3C(=O)OC(C)(C)C)c2C1,Z0827a,Z0969a,,,
CC(C)CCN1CCCCC1CNCc1cnn2c1CN(C(=O)OC(C)(C)C)CC2,Z0827a,Z0969a,,,
Cn1cnc(NC(=O)CCBr)c1,Z0719a,Z1597a,,,
Cn1cnc(NC(=O)CCCl)c1,Z0719a,Z1597a,,,
Cn1cnc(NC(=O)CC#N)c1,Z0719a,Z1597a,,,
C#CCC(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
C#CCC(=O)Nc1cncn1C,Z0719a,Z1597a,,,
C=CCC(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
Cn1cnc(NC(=O)CCS)c1,Z0719a,Z1597a,,,
CCCC(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
C=C(C)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
CC(O)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
CC(C)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
CC(S)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
Cn1cnc(NC(=O)CCO)c1,Z0719a,Z1597a,,,
Cn1cnc(NC(=O)CCF)c1,Z0719a,Z1597a,,,
Cn1cnc(NC(=O)CCI)c1,Z0719a,Z1597a,,,
CC(=O)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
CC(=O)C(=O)Nc1cncn1C,Z0719a,Z1597a,,,
CC(Br)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
CC(Cl)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
Cc1ncc(NC(=O)CCBr)n1C,Z0719a,Z1597a,,,
CCn1cnc(NC(=O)CCBr)c1,Z0719a,Z1597a,,,
Cc1ncc(NC(=O)C(C)Cl)n1C,Z0719a,Z1597a,,,
CCn1cnc(NC(=O)C(C)Cl)c1,Z0719a,Z1597a,,,
C=CC(O)C(=O)Nc1cn(C)cn1,Z0719a,Z1597a,,,
Cn1cnc(NC(=O)C(C)(C)Cl)c1,Z0719a,Z1597a,,,
CC(Br)C(=O)Nc1[nH]cnc1C#N,Z0719a,Z1597a,,,
Cc1ncn(C)c1NC(=O)C(C)Br,Z0719a,Z1597a,,,
Cc1ncc(NC(=O)C(C)Br)n1C,Z0719a,Z1597a,,,
CCn1cnc(NC(=O)C(C)Br)c1,Z0719a,Z1597a,,,
CC(Cl)C(=O)Nc1[nH]cnc1C#N,Z0719a,Z1597a,,,
Cc1ncn(C)c1NC(=O)C(C)Cl,Z0719a,Z1597a,,,
