smiles,template,compound_set,hit1
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cn[nH]c2)c1,Z4959b,openbind_xx01zvns2b_c2_elaborated_hits,Z4959b
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]cnc12,Z4963a,openbind_xx01zvns2b_c2_elaborated_hits,Z4963a
Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)CNC4)cc12,Z4971a,openbind_xx01zvns2b_c2_elaborated_hits,Z4971a
Cc1ccc(NC(=O)c2cc(Cl)cc3c2cnn3C2CNC2)nc1C,Z5010a,openbind_xx01zvns2b_c2_elaborated_hits,Z5010a
O=C(Nc1ccc(C2CNC2)cc1)c1cc(Cl)cc2c1cnn2C1CNC1,Z5020a,openbind_xx01zvns2b_c2_elaborated_hits,Z5020a
O=C(Nc1ccccn1)c1cc(Cl)cc2c1cnn2C1CNC1,Z5027a,openbind_xx01zvns2b_c2_elaborated_hits,Z5027a
Cc1cnc(NC(=O)c2cc(Cl)cc3c2cnn3C2CNC2)cc1C,Z5061a,openbind_xx01zvns2b_c2_elaborated_hits,Z5061a
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]c(C3CNC3)cc2c1,Z5067a,openbind_xx01zvns2b_c2_elaborated_hits,Z5067a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cocn2)c1,Z5136a,openbind_xx01zvns2b_c2_elaborated_hits,Z5136a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cc[nH]n2)c1,Z5139a,openbind_xx01zvns2b_c2_elaborated_hits,Z5139a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cc[nH]n2)c1,Z5171a,openbind_xx01zvns2b_c2_elaborated_hits,Z5171a
O=C(Nc1cc[nH]n1)c1cc(Cl)cc2c1cnn2C1CNC1,Z5197a,openbind_xx01zvns2b_c2_elaborated_hits,Z5197a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cncs2)c1,Z5200a,openbind_xx01zvns2b_c2_elaborated_hits,Z5200a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2c[nH]c3ccccc23)c1,Z5229a,openbind_xx01zvns2b_c2_elaborated_hits,Z5229a
O=C(Nc1ccc(C2CNC2)cc1)c1cc(Cl)cc2c1cnn2C1CCOCC1,Z5339a,openbind_xx01zvns2b_c2_elaborated_hits,Z5339a
CNCc1cccc(NC(=O)c2cc(Cl)cc3c2cnn3C2CNC2)c1,Z5348a,openbind_xx01zvns2b_c2_elaborated_hits,Z5348a
