target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-3-1,reactant-4-1
C138,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cccc2[nH]c(=O)[nH]c12,O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(=O)[nH]c12,Amidation,,,,,,,,,,
C141,1,,,,Nc1ccc2c(c1)CNC2,O=Cc1cncc2ccccc12,N#CC(Nc1ccc2c(c1)CNC2)c1cncc2ccccc12,Formation_of_alpha_aminonitrile_from_aldehyde_or_ketone_-_Strecker_reaction,,,,,,,,,,
C143,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(Cl)[nH]c2nccc1-2,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)nc2[nH]ccc12,Amidation,,,,,,,,,,
C144,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1ccc2sncc2c1,O=C(Nc1ccc2c(c1)CNC2)c1ccc2sncc2c1,Amidation,,,,,,,,,,
C147,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(Cl)ccc1-n1ccnc1,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)ccc1-n1ccnc1,Amidation,,,,,,,,,,
C150,1,,,,Nc1ccc2c(c1)CNC2,Cc1cc(C(=O)O)c2cnn(C)c2n1,Cc1cc(C(=O)Nc2ccc3c(c2)CNC3)c2cnn(C)c2n1,Amidation,,,,,,,,,,
C151,1,,,,Nc1ccc2c(c1)CNC2,Cn1ncc2c(C(=O)O)cc(C3CC3)nc21,Cn1ncc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(C3CC3)nc21,Amidation,,,,,,,,,,
C155,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(F)cc2nc(-c3ccccc3)[nH]c12,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3)nc12,Amidation,,,,,,,,,,
C159,1,,,,Ic1ccc2c(c1)CNC2,NC(=O)c1ccc2[nH]cc(C3CCNCC3)c2c1,O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]cc(C3CCNCC3)c2c1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,,,,,,,,,
C161,1,,,,Nc1ccc2c(c1)CNC2,O=C1Cc2cc(C(=O)O)ccc2N1,O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,Amidation,,,,,,,,,,
C168,1,,,,Ic1ccc2c(c1)CNC2,NC(=O)c1ccc2[nH]ccc2c1,O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]ccc2c1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,,,,,,,,,
C169,1,,,,Nc1ccc2c(c1)CNC2,CCOC(=O)c1cccc2cn[nH]c12,O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,Ester_amidation,,,,,,,,,,
C228,1,,,,CCN1CCC(c2c[nH]c3ccc(C(=O)O)cc23)CC1,Nc1ccc2c(c1)CNC2,CCN1CCC(c2c[nH]c3ccc(C(=O)Nc4ccc5c(c4)CNC5)cc23)CC1,Amidation,,,,,,,,,,
C189,1,,,,Nc1ccc2c(n1)CNC2,O=C1Cc2c(cccc2C(=O)O)N1,O=C1Cc2c(cccc2C(=O)Nc2ccc3c(n2)CNC3)N1,Amidation,,,,,,,,,,
C137,1,,,,Nc1ccc2c(c1)CNC2,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc2[nH]1,Amidation,,,,,,,,,,
C178,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cccc2c3c([nH]c12)CCC3,O=C(Nc1ccc2c(c1)CNC2)c1cccc2c3c([nH]c12)CCC3,Amidation,,,,,,,,,,
C179,1,,,,NC1CCN(c2ccccn2)C1,O=C1Cc2c(cccc2C(=O)O)N1,O=C1Cc2c(cccc2C(=O)NC2CCN(c3ccccn3)C2)N1,Amidation,,,,,,,,,,
C183,1,,,,Cc1cc(N)cc(CN)c1,O=C1Cc2c(cccc2C(=O)O)N1,Cc1cc(CN)cc(NC(=O)c2cccc3c2CC(=O)N3)c1,Amidation,,,,,,,,,,
C185,1,,,,Nc1ccc2c(c1)CNC2,Cc1[nH]c2c(C(=O)O)cccc2c1C,Cc1[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cccc2c1C,Amidation,,,,,,,,,,
C191,1,,,,O=C1Cc2c(cccc2C(=O)O)N1,Nc1ccc2c(c1)CNCC2,O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNCC3)N1,Amidation,,,,,,,,,,
C194,1,,,,Nc1ccc2c(c1)CNCCO2,O=C1Cc2c(cccc2C(=O)O)N1,O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNCCO3)N1,Amidation,,,,,,,,,,
C198,1,,,,Nc1ccc2c(c1)CNC2=O,O=C1Cc2c(cccc2C(=O)O)N1,O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNC3=O)N1,Amidation,,,,,,,,,,
C241,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1ccc2[nH]c(=O)[nH]c2c1,O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]c(=O)[nH]c2c1,Amidation,,,,,,,,,,
C204,1,,,,Nc1ccc2c(c1)CNC2,N#Cc1csc2cc(C(=O)O)ccc12,N#Cc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,Amidation,,,,,,,,,,
C206,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1ccc2c(c1)C1(CC1)C(=O)N2,O=C(Nc1ccc2c(c1)CNC2)c1ccc2c(c1)C1(CC1)C(=O)N2,Amidation,,,,,,,,,,
C207,1,,,,Nc1cnn(Cc2ccncc2)c1,O=C1Cc2c(cccc2C(=O)O)N1,O=C1Cc2c(cccc2C(=O)Nc2cnn(Cc3ccncc3)c2)N1,Amidation,,,,,,,,,,
C217,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(Cl)cc2c1cnn2C1CNC1,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1cnn2C1CNC1,Amidation,,,,,,,,,,
C219,1,,,,CN1CCC(B2OC(C)(C)C(C)(C)O2)CC1,O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]cc(I)c2c1,CN1CCC(c2c[nH]c3ccc(C(=O)Nc4ccc5c(c4)CNC5)cc23)CC1,Sp3-sp2_Suzuki_coupling,,,,,,,,,,
C221,1,,,,Nc1ccc2c(c1)CNC2,O=C1CCc2cc(C(=O)O)ccc2N1,O=C1CCc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,Amidation,,,,,,,,,,
C268,1,,,,Nc1ccc2c(c1)CNC2,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)CNC4)cc12,Ester_amidation,,,,,,,,,,
C232,1,,,,Nc1ccc2c(c1)CNC2,CN1CCC(c2n[nH]c3ccc(C(=O)O)cc23)CC1,CN1CCC(c2n[nH]c3ccc(C(=O)Nc4ccc5c(c4)CNC5)cc23)CC1,Amidation,,,,,,,,,,
C39979,1,,,,Nc1ccc2c(c1)CNC2=O,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,Cc1c[nH]c2c(Cl)cc(C(=O)Nc3ccc4c(c3)CNC4=O)cc12,Ester_amidation,,,,,,,,,,
C246,1,,,,O=C1Cc2cc(C(=O)O)ccc2N1,CN1Cc2ccc(N)cc2C1,CN1Cc2ccc(NC(=O)c3ccc4c(c3)CC(=O)N4)cc2C1,Amidation,,,,,,,,,,
C247,1,,,,O=C(O)c1cc(Cl)cc2c1cnn2C1CNC1,Nc1ccc(N2CCCC2=O)c(F)c1,O=C(Nc1ccc(N2CCCC2=O)c(F)c1)c1cc(Cl)cc2c1cnn2C1CNC1,Amidation,,,,,,,,,,
