target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-4-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C1471,1,,,,NC(=O)c1ccc2c(c1)CNC2,COc1cccc(B(O)O)n1,COc1cccc(NC(=O)c2ccc3c(c2)CNC3)n1,"Chan-Lam_coupling_of_amides,_sulfonamides,_and_imides",,,,,,,,,,
C52857,1,,,,O=C(O)Cc1cncnc1,O=S1(=O)CCC(NCc2ccco2)C1,O=C(Cc1cncnc1)N(Cc1ccco1)C1CCS(=O)(=O)C1,Amidation,,,,,,,,,,
C8888,1,,,,NC1CCNCC1,Cc1ncsc1CCCl,Cc1ncsc1CCS(=O)(=O)NC1CCNCC1,Formation_of_sulfonamide_from_halide_-_Shavnya_reaction,,,,,,,,,,
C53587,1,,,,O=C(O)CSc1nc2ccccc2s1,Cc1cc2n(n1)CCNC2,Cc1cc2n(n1)CCN(C(=O)CSc1nc3ccccc3s1)C2,Amidation,,,,,,,,,,
C11231,1,,,,ClCCCc1ccncc1,C1CC(N2C3CCC2CNC3)CCN1,c1cc(CCCN2CC3CCC(C2)N3C2CCNCC2)ccn1,Amine_alkylation,,,,,,,,,,
C55394,1,,,,NCc1nnc2ccccn12,CC(C)(C)OC(=O)Cn1cc(CCO)nn1,O=C(Cn1cc(CCO)nn1)NCc1nnc2ccccn12,Ester_amidation,,,,,,,,,,
C16930,1,,,,OB(O)c1ccc2ccccc2n1,O=C(c1ccc2ccccc2n1)N1CCNCC1,O=C(c1ccc2ccccc2n1)N1CCN(c2ccc3ccccc3n2)CC1,Chan-Lam_coupling_(amination),,,,,,,,,,
C13011,1,,,,CC(CN)c1ccccn1,CC(C)c1cccc(N)n1,CC(C)c1cccc(NC(=O)NCC(C)c2ccccn2)n1,Formation_of_urea_from_two_amines,,,,,,,,,,
C9460,1,,,,O=C(O)Cc1cccnc1,COCC(=O)N1CCC(C(C)N)CC1,COCC(=O)N1CCC(C(C)NC(=O)Cc2cccnc2)CC1,Amidation,,,,,,,,,,
C13551,1,,,,O=C(O)CCc1ncc[nH]1,COCC(=O)NC1CCCC1CN,COCC(=O)NC1CCCC1CNC(=O)CCc1ncc[nH]1,Amidation,,,,,,,,,,
C3735,1,,,,Ic1ncc[nH]1,CC1(C)OB(c2cnc(C3CC3)c(C(F)(F)F)c2)OC1(C)C,FC(F)(F)c1cc(-c2ncc[nH]2)cnc1C1CC1,Sp2-sp2_Suzuki_coupling,,,,,,,,,,
C2823,1,,,,CC1(C)OB(C2CCCNC2)OC1(C)C,Ic1cccc2[nH]cnc12,c1cc(C2CCCNC2)c2nc[nH]c2c1,Sp3-sp2_Suzuki_coupling,,,,,,,,,,
C2925,1,,,,CC(C)NC1CCCNC1,O=C(O)CCc1ccnc2ccccc12,CC(C)NC1CCCN(C(=O)CCc2ccnc3ccccc23)C1,Amidation,,,,,,,,,,
C13044,1,,,,NC(c1cccnc1)c1ccccn1,C1CC2(C1)CNC2,O=C(NC(c1cccnc1)c1ccccn1)N1CC2(CCC2)C1,Formation_of_urea_from_two_amines,,,,,,,,,,
C1225,1,,,,O=C(O)C(F)(F)c1ccncc1,Nc1ncc(C2CCOC2)s1,O=C(Nc1ncc(C2CCOC2)s1)C(F)(F)c1ccncc1,Amidation,,,,,,,,,,
C10180,1,,,,O=C(O)c1cscn1,COC(=O)COc1ccc(N)c2cccnc12,COC(=O)COc1ccc(NC(=O)c2cscn2)c2cccnc12,Amidation,,,,,,,,,,
C10728,1,,,,O=C(O)CCCn1cnc2ccccc21,CC(N)c1ccccn1,CC(NC(=O)CCCn1cnc2ccccc21)c1ccccn1,Amidation,,,,,,,,,,
C54617,1,,,,Nc1cccc2ncccc12,Cn1cnc2cccc(C=O)c21,Cn1cnc2cccc(CNc3cccc4ncccc34)c21,Reductive_amination,,,,,,,,,,
C52886,1,,,,O=C(O)Cc1cncnc1,CCC(C)(C)C(=O)NCC1CC1CN,CCC(C)(C)C(=O)NCC1CC1CNC(=O)Cc1cncnc1,Amidation,,,,,,,,,,
C49238,1,,,,CN(C)c1ccnc(N)c1,CC(Oc1ccccn1)C(=O)O,CC(Oc1ccccn1)C(=O)Nc1cc(N(C)C)ccn1,Amidation,,,,,,,,,,
C52892,1,,,,O=C(O)Cc1cncnc1,C=C(Cl)CCC(=O)N1CCCC1CN,C=C(Cl)CCC(=O)N1CCCC1CNC(=O)Cc1cncnc1,Amidation,,,,,,,,,,
C50193,1,,,,NCCN1CCNCC1,Cc1nccn1CCCC(=O)O,Cc1nccn1CCCC(=O)NCCN1CCNCC1,Amidation,,,,,,,,,,
C55427,1,,,,NCc1nnc2ccccn12,O=C(O)Cn1c(SC(F)F)nc2ccccc21,O=C(Cn1c(SC(F)F)nc2ccccc21)NCc1nnc2ccccn12,Amidation,,,,,,,,,,
C9815,1,,,,O=C(O)c1cccnc1,CC(CCN)N(C)C(=O)c1cn(C)cn1,CC(CCNC(=O)c1cccnc1)N(C)C(=O)c1cn(C)cn1,Amidation,,,,,,,,,,
C10371,1,,,,O=C(O)Cc1cn2ccccc2n1,NNC(=O)c1ccc2ccccc2n1,O=C(Cc1cn2ccccc2n1)NNC(=O)c1ccc2ccccc2n1,Carboxylic_acid_+_hydrazine_condensation,,,,,,,,,,
C1881,1,,,,Nc1cccc2c1CN(c1ccccn1)C2,O=C=NCC1CCOC1,O=C(NCC1CCOC1)Nc1cccc2c1CN(c1ccccn1)C2,Isocyanate_to_urea,,,,,,,,,,
C54372,1,,,,c1ccc2c(N3CCNCC3)ncnc2c1,CCOC(=O)c1cocn1,O=C(c1cocn1)N1CCN(c2ncnc3ccccc23)CC1,Ester_amidation,,,,,,,,,,
C55685,1,,,,NCCCc1ncc[nH]1,Cc1ccc(S(=O)(=O)OC2CCCCC2)cc1,c1c[nH]c(CCCNC2CCCCC2)n1,Amine_alkylation,,,,,,,,,,
C9562,1,,,,O=C(O)C(c1ccncc1)C1CCCC1,CC(N)C1CCNCC1,CC(NC(=O)C(c1ccncc1)C1CCCC1)C1CCNCC1,Amidation,,,,,,,,,,
C48189,1,,,,CC(O)CN,COc1cc(Br)c2ccccc2n1,COc1cc(C(C)CN)c2ccccc2n1,Sp3-sp2_Macmillan_coupling_alcohol_and_aryl_halide,,,,,,,,,,
C824,1,,,,O=C(O)c1ccnc(C2CC2)c1,CNc1cccc2cccnc12,CN(C(=O)c1ccnc(C2CC2)c1)c1cccc2cccnc12,Amidation,,,,,,,,,,
C4206,1,,,,O=C(O)c1cscn1,N#Cc1ccc(-n2cnc3ccccc32)cc1,c1ccc2c(c1)ncn2-c1ccc(-c2noc(-c3cscn3)n2)cc1,"1,2,4-Oxadiazole_synthesis_(nitrile_+_carboxylic_acid)",,,,,,,,,,
C3206,1,,,,NC(C(=O)O)c1cscn1,N#Cc1ccc2c(c1)CNC2,N#Cc1ccc2c(c1)CN(C(=O)C(N)c1cscn1)C2,Amidation,,,,,,,,,,
C13694,1,,,,NCCc1nc2ccccc2[nH]1,CSCCC(N)c1nnc2ccccn12,CSCCC(NC(=O)NCCc1nc2ccccc2[nH]1)c1nnc2ccccn12,Formation_of_urea_from_two_amines,,,,,,,,,,
C48815,1,,,,CC(=O)O,NCC12CCCCC1CN(C(=O)c1cncc3ccccc13)C2,CC(=O)NCC12CCCCC1CN(C(=O)c1cncc3ccccc13)C2,Amidation,,,,,,,,,,
C48044,1,,,,CC(O)C(N)=O,Cc1ccc(O)c(N)n1,Cc1ccc(OC(C)C(N)=O)c(N)n1,Mitsunobu_aryl_ether_synthesis,,,,,,,,,,
C116932,1,,,,CC(=O)NCC1CCNCC1,O=C(O)c1n[nH]c2ccccc12,CC(=O)NCC1CCN(C(=O)c2n[nH]c3ccccc23)CC1,Amidation,,,,,,,,,,
C116077,1,,,,Cc1cccn2cc(C(=O)O)nc12,CC(C)(CN)n1ccnc1,Cc1cccn2cc(C(=O)NCC(C)(C)n3ccnc3)nc12,Amidation,,,,,,,,,,
C12922,1,,,,CC(=O)NCC1CCCCN1,O=C(O)c1ccc2c(c1)CNC2,CC(=O)NCC1CCCCN1C(=O)c1ccc2c(c1)CNC2,Amidation,,,,,,,,,,
C53652,1,,,,O=C(O)c1cnn2c1CNCC2,COc1ccc(CN)nc1,COc1ccc(CNC(=O)c2cnn3c2CNCC3)nc1,Amidation,,,,,,,,,,
C3773,1,,,,O=C(O)c1cnc2ccccn12,Nc1cccc(-c2c[nH]cn2)c1,O=C(Nc1cccc(-c2c[nH]cn2)c1)c1cnc2ccccn12,Amidation,,,,,,,,,,
C3324,1,,,,O=C(O)c1ccc(-c2nc[nH]n2)nc1,NCc1ccncn1,O=C(NCc1ccncn1)c1ccc(-c2nc[nH]n2)nc1,Amidation,,,,,,,,,,
C2106,1,,,,O=C(O)c1cccc2cccnc12,Nc1ccc(-c2nc3ccccc3[nH]2)cc1,O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1cccc2cccnc12,Amidation,,,,,,,,,,
C13043,1,,,,C1CC2(C1)CNC2,O=C(O)c1ccc(-c2ccccn2)nc1,O=C(c1ccc(-c2ccccn2)nc1)N1CC2(CCC2)C1,Amidation,,,,,,,,,,
C4318,1,,,,O=C(O)Cc1cn2ccccc2n1,CC(C)c1ncsc1N,CC(C)c1ncsc1NC(=O)Cc1cn2ccccc2n1,Amidation,,,,,,,,,,
C1899,1,,,,CCCO,O=C(NCc1ccc2c(c1)CNC2)c1ccccn1,CCCN1Cc2ccc(CNC(=O)c3ccccn3)cc2C1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,,
C49916,1,,,,N,OB(O)c1ccc2[nH]cnc2c1,CC(C(N)c1ccc2[nH]cnc2c1)N1CCNCC1,Petasis-borono_Mannich_reaction,,,CC(C=O)N1CCNCC1,,,,,,,
C117036,1,,,,c1cnnc(N2CCNCC2)c1,CCOC(=O)c1nnc2ccccn12,O=C(c1nnc2ccccn12)N1CCN(c2cccnn2)CC1,Ester_amidation,,,,,,,,,,
