target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C40157,1,,,,Cc1cc(NC(=O)CN)on1,CC(CO)N(C)C(=O)CN1CCCC1,Cc1cc(NC(=O)CNCC(C)N(C)C(=O)CN2CCCC2)on1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C25561,1,,,,O=C(O)Cn1cccn1,CC(N)C(C)NC(=O)c1cn2cccnc2n1,CC(NC(=O)Cn1cccn1)C(C)NC(=O)c1cn2cccnc2n1,Amidation,,
C12064,1,,,,NCc1cncnc1,CNC(C)CN1CCCCC1,CC(CN1CCCCC1)N(C)C(=O)NCc1cncnc1,Formation_of_urea_from_two_amines,,
C28736,1,,,,Cc1nc(CC(=O)O)c[nH]1,CCC(N)c1ncccn1,CCC(NC(=O)Cc1c[nH]c(C)n1)c1ncccn1,Amidation,,
C22874,1,,,,O=C(O)CCc1ccncc1,CCC(CC)C(=O)NC1CCC(N)CC1,CCC(CC)C(=O)NC1CCC(NC(=O)CCc2ccncc2)CC1,Amidation,,
C27867,1,,,,O=C(NCC1Cc2ccccc2CN1)c1cn[nH]c1,CC(C)C(=O)O,CC(C)C(=O)N1Cc2ccccc2CC1CNC(=O)c1cn[nH]c1,Amidation,,
C15381,1,,,,O=C(O)Cn1cnc2ccccc21,Cc1cccc2[nH]c(N)nc12,Cc1cccc2[nH]c(NC(=O)Cn3cnc4ccccc43)nc12,Amidation,,
C27243,1,,,,O=C(O)c1ccn2ccnc2c1,NCCCCc1ccc(Cl)s1,O=C(NCCCCc1ccc(Cl)s1)c1ccn2ccnc2c1,Amidation,,
C33290,1,,,,O=C(O)c1cncs1,CCCCC(CN)NC(=O)c1cc[nH]n1,CCCCC(CNC(=O)c1cncs1)NC(=O)c1cc[nH]n1,Amidation,,
C32037,1,,,,CNC(C)c1ccccn1,O=C(O)c1cnc2ccccn12,CC(c1ccccn1)N(C)C(=O)c1cnc2ccccn12,Amidation,,
C24504,1,,,,CCC(CC)C(=O)NC1CNCC1C,CC(C)SC(C)C(=O)O,CCC(CC)C(=O)NC1CN(C(=O)C(C)SC(C)C)CC1C,Amidation,,
C33707,1,,,,Nc1ccc2[nH]ccc2c1,CCOC(=O)c1ccc(C(=O)O)cc1,CCOC(=O)c1ccc(C(=O)Nc2ccc3[nH]ccc3c2)cc1,Amidation,,
C26446,1,,,,O=C(O)c1cn[nH]c1,NCC(NC(=O)c1cccc2nccn12)C1CC1,O=C(NCC(NC(=O)c1cccc2nccn12)C1CC1)c1cn[nH]c1,Amidation,,
C14395,1,,,,NC1=NC(=O)C(=CC2=Cc3ccccc3OC2)S1,Fc1cccnc1,O=C1N=C(Nc2cccnc2)SC1=CC1=Cc2ccccc2OC1,N-nucleophilic_aromatic_substitution,,
C8615,1,,,,CC(N)C(=O)N1CCCCC1,CC(CO)N(C)C(=O)c1cn[nH]c1,CC(NCC(C)N(C)C(=O)c1cn[nH]c1)C(=O)N1CCCCC1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C16691,1,,,,O=C(O)CCc1cscn1,O=C(NCCNC1CC1)c1cnc[nH]1,O=C(NCCN(C(=O)CCc1cscn1)C1CC1)c1cnc[nH]1,Amidation,,
C25412,1,,,,O=CCc1c[nH]c2cccc(F)c12,CC(N)c1ccn[nH]1,CC(NCCc1c[nH]c2cccc(F)c12)c1ccn[nH]1,Reductive_amination,,
C12873,1,,,,O=C(O)CN1CCCC1,CCCCC(CN)NC(=O)c1ncc[nH]1,CCCCC(CNC(=O)CN1CCCC1)NC(=O)c1ncc[nH]1,Amidation,,
C5010,1,,,,O=Cc1c[nH]nc1-c1ccc2c(c1)OCO2,NCCn1ccc2ccccc21,c1ccc2c(c1)ccn2CCNCc1c[nH]nc1-c1ccc2c(c1)OCO2,Reductive_amination,,
C6392,1,,,,O=C(O)COc1ccsc1,COC(=O)C1CCCN1,COC(=O)C1CCCN1C(=O)COc1ccsc1,Amidation,,
C7931,1,,,,c1cc(C2CCCN2)cs1,NCCCC1CCCN1,O=C(NCCCC1CCCN1)N1CCCC1c1ccsc1,Formation_of_urea_from_two_amines,,
C12802,1,,,,O=C(O)CCn1cnc2ccccc21,COC(C)CN1CCC(CN)C1,COC(C)CN1CCC(CNC(=O)CCn2cnc3ccccc32)C1,Amidation,,
C19520,1,,,,O=C(O)C(=O)NCCCn1cccn1,CC(N)C1=CCN(C)CC1,CC(NC(=O)C(=O)NCCCn1cccn1)C1=CCN(C)CC1,Amidation,,
C28536,1,,,,O=C(O)c1cn2cccnc2n1,CCCCC(N)c1cccnc1,CCCCC(NC(=O)c1cn2cccnc2n1)c1cccnc1,Amidation,,
